Model,Baseline,High-Confidence,Gaze Baseline,Gaze High-Confidence,Best Macro F1,Best Weighted F1
Random Forest,0.849193,0.90407,0.884637,0.918114,0.927862,0.915445
Extra Trees,0.859498,0.90843,0.912891,0.948605,0.939588,0.946845
Gradient Boosting,0.787358,0.899709,0.834563,0.926579,0.921342,0.927586
Decision Tree,0.800069,0.886628,0.840183,0.89721,0.88673,0.89721
AdaBoost,0.705943,0.875,0.722164,0.900147,0.888122,0.900951
Logistic Regression,0.669186,0.856105,0.720407,0.856094,0.862738,0.864971
Linear SVM,0.74854,0.866279,0.788901,0.891336,0.887813,0.894654
RBF SVM,0.769839,0.861919,0.804707,0.892805,0.893813,0.897914
K-Nearest Neighbors,0.857781,0.901163,0.894626,0.932452,0.918142,0.931709
XGBoost,0.853659,0.928779,0.923428,0.95301,0.946324,0.952137
