frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1,0.033333,0,,,,,,,,,,,,
2,0.066667,0,,,,,,,,,,,,
3,0.1,0,,,,,,,,,,,,
4,0.133333,1,611.974907,300.903924,505.317507,308.577413,558.646207,304.740669,3.050658,3.2107,-1.778795,4.298553,0.635931,3.754627
5,0.166667,1,612.652206,300.410682,505.534601,310.098719,559.093404,305.2547,3.095862,1.818822,-1.712961,1.872195,0.691451,1.845508
6,0.2,1,613.380461,300.162615,505.703745,309.388717,559.542103,304.775666,3.080907,1.513546,-1.658724,2.194126,0.711091,1.853836
7,0.233333,1,613.636417,300.255682,505.998993,309.328002,559.817705,304.791842,3.137306,1.575949,-1.624381,2.027973,0.756463,1.801961
8,0.266667,1,614.928713,299.543116,506.288404,309.255711,560.608559,304.399414,3.100384,1.405304,-1.624831,1.626539,0.737776,1.515922
9,0.3,1,614.9825,298.606612,509.501457,308.169862,562.241979,303.388237,2.944149,2.350473,-1.696766,2.968325,0.623692,2.659399
10,0.333333,1,614.311714,298.824531,508.768253,308.112962,561.539984,303.468746,2.997574,2.511625,-1.743414,3.456651,0.62708,2.984138
11,0.366667,1,614.728651,298.921503,509.604902,307.588847,562.166777,303.255175,2.960016,2.512162,-1.740491,3.081759,0.609763,2.79696
12,0.4,1,615.097151,298.349238,511.70536,307.114332,563.401256,302.731785,2.90128,2.843016,-1.735527,4.220632,0.582876,3.531824
13,0.433333,1,615.242825,299.155172,512.349901,307.633511,563.796363,303.394342,2.821155,2.616628,-1.771739,3.505593,0.524708,3.06111
14,0.466667,1,615.629015,298.16415,512.445221,306.978489,564.037118,302.571319,2.888471,3.558375,-1.818377,4.381978,0.535047,3.970176
15,0.5,1,615.91629,299.553738,513.619461,306.272483,564.767876,302.913111,2.826134,3.174297,-1.798499,4.073953,0.513817,3.624125
16,0.533333,1,615.962791,297.981738,514.80464,306.325554,565.383716,302.153646,2.797762,3.155743,-1.796644,4.377755,0.500559,3.766749
17,0.566667,1,619.973402,298.950756,515.224771,306.86508,567.599087,302.907918,2.849506,2.683998,-1.826487,3.800806,0.51151,3.242402
18,0.6,1,620.302343,299.210474,514.860353,306.527014,567.581348,302.868744,2.889467,2.846579,-1.803571,3.635563,0.542948,3.241071
19,0.633333,1,620.039787,298.591683,514.723253,307.27196,567.38152,302.931822,2.899954,2.929757,-1.831775,4.168849,0.534089,3.549303
20,0.666667,1,620.126038,298.992314,515.08112,307.353784,567.603579,303.173049,2.864583,2.872286,-1.806093,3.592739,0.529245,3.232512
21,0.7,1,620.45475,299.51278,514.870319,306.674305,567.662535,303.093543,2.889743,3.169674,-1.798355,3.399418,0.545694,3.284546
22,0.733333,1,620.242958,298.681532,514.81801,307.03231,567.530484,302.856921,2.895197,3.447796,-1.791975,3.778795,0.551611,3.613296
23,0.766667,1,618.849649,302.336138,516.249123,310.530984,567.549386,306.433561,2.886842,3.043589,-1.756234,3.129202,0.565304,3.086395
24,0.8,1,618.620672,305.729519,515.432234,316.10168,567.026453,310.915599,2.823593,3.74726,-1.761645,3.287375,0.530974,3.517318
25,0.833333,1,617.476368,304.058636,516.676569,314.137713,567.076468,309.098175,2.768698,3.181173,-1.784826,4.284385,0.491936,3.732779
26,0.866667,1,619.693575,302.047001,514.943075,310.652005,567.318325,306.349503,2.839198,3.212059,-1.890962,3.715457,0.474118,3.463758
27,0.9,1,620.980577,300.842614,514.884138,308.378999,567.932358,304.610807,2.908597,4.514097,-1.858758,3.002912,0.524919,3.758504
28,0.933333,1,621.199398,300.48035,514.424562,307.88021,567.81198,304.18028,2.895392,3.969284,-1.86521,2.966067,0.515091,3.467676
29,0.966667,1,622.006197,300.251069,514.353952,307.368187,568.180075,303.809628,2.848684,3.719759,-1.885606,2.890731,0.481539,3.305245
30,1.0,1,622.180691,299.612725,515.865402,306.728566,569.023046,303.170646,2.8043,4.125065,-1.856073,2.824623,0.474114,3.474844
31,1.033333,1,622.857466,299.744561,516.578665,306.624379,569.718065,303.18447,2.736843,4.072042,-1.823328,2.558155,0.456758,3.315099
32,1.066667,1,622.855272,299.789718,516.506319,306.019213,569.680796,302.904466,2.747903,3.768411,-1.815002,2.617338,0.46645,3.192875
33,1.1,1,622.806692,299.444298,516.865969,306.575246,569.83633,303.009772,2.810679,3.56191,-1.843052,2.63106,0.483813,3.096485
34,1.133333,1,623.217783,299.103674,517.216644,306.405939,570.217214,302.754807,2.791944,3.662368,-1.849382,2.397117,0.471281,3.029742
