frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1,0.033333,0,,,,,,,,,,,,
2,0.066667,0,,,,,,,,,,,,
3,0.1,1,982.915688,105.548162,803.00869,130.146411,892.962189,117.847287,2.865418,1.691291,-1.759773,2.582769,0.552822,2.13703
4,0.133333,1,983.175602,105.244335,801.419258,129.252536,892.29743,117.248435,2.763662,0.777787,-1.687844,1.812747,0.537909,1.295267
5,0.166667,1,982.326641,105.817936,801.667175,129.721584,891.996908,117.76976,2.746262,1.024224,-1.686414,1.855475,0.529924,1.439849
6,0.2,1,982.513065,106.177103,800.966949,129.338903,891.740007,117.758003,2.742711,1.072891,-1.640689,1.895753,0.551011,1.484322
7,0.233333,1,981.770668,106.072523,800.83519,130.834065,891.302929,118.453294,2.765749,1.108423,-1.654784,1.938715,0.555482,1.523569
8,0.266667,1,981.829052,106.031177,800.999908,130.661999,891.41448,118.346588,2.770474,1.073176,-1.684635,1.891586,0.542919,1.482381
9,0.3,1,982.71246,106.013906,801.443329,130.692045,892.077894,118.352976,2.801788,1.054128,-1.655666,1.809863,0.573061,1.431996
10,0.333333,1,983.124809,105.939614,802.125053,130.931298,892.624931,118.435456,2.814695,1.113909,-1.664845,1.896485,0.574925,1.505197
11,0.366667,1,984.054298,105.789462,802.915592,130.977172,893.484945,118.383317,2.841525,1.109117,-1.649338,1.864426,0.596094,1.486772
12,0.4,1,984.824085,106.510426,803.639164,131.266539,894.231625,118.888483,2.814673,1.118834,-1.672448,1.910935,0.571112,1.514884
13,0.433333,1,985.641861,107.219058,804.165783,131.407165,894.903822,119.313111,2.80739,1.247055,-1.655285,1.90137,0.576053,1.574213
14,0.466667,1,986.600418,108.69137,804.464073,131.980584,895.532246,120.335977,2.795919,1.265791,-1.639541,1.841545,0.578189,1.553668
15,0.5,1,986.899605,108.677412,805.541725,133.396959,896.220665,121.037186,2.837744,1.132912,-1.649101,1.723763,0.594321,1.428337
16,0.533333,1,987.906437,109.133042,805.153885,134.220268,896.530161,121.676655,2.838917,1.227051,-1.670354,1.764911,0.584281,1.495981
17,0.566667,1,988.8307,109.110589,804.925613,134.476629,896.878157,121.793609,2.899073,1.335861,-1.655987,1.738782,0.621543,1.537322
18,0.6,1,989.182816,109.825156,805.550842,134.656514,897.366829,122.240835,3.078585,1.442204,-1.651945,1.668034,0.71332,1.555119
19,0.633333,1,989.95575,110.088632,806.482601,134.997734,898.219175,122.543183,3.105236,1.388413,-1.669075,1.706376,0.71808,1.547394
20,0.666667,1,989.596882,111.195484,806.068478,134.474681,897.83268,122.835082,3.044141,1.689826,-1.664222,1.857518,0.689959,1.773672
21,0.7,1,990.000706,110.864684,805.796661,136.593782,897.898684,123.729233,3.072209,1.736372,-1.624429,2.048096,0.72389,1.892234
22,0.733333,1,994.61153,111.627579,809.325523,136.627001,901.968527,124.12729,3.180219,1.827841,-1.607697,2.469736,0.786261,2.148789
23,0.766667,1,997.259483,112.924899,814.580135,137.038184,905.919809,124.981542,3.123002,2.037753,-1.58213,2.409823,0.770436,2.223788
24,0.8,1,997.515907,113.218781,814.557285,137.69864,906.036596,125.458711,3.126505,1.962087,-1.570143,2.4175,0.778181,2.189794
25,0.833333,1,997.602978,113.158869,813.471699,137.909963,905.537338,125.534416,3.11975,1.920187,-1.584712,2.443282,0.767519,2.181735
26,0.866667,1,997.786808,113.463632,813.882046,138.228256,905.834427,125.845944,3.069479,1.989998,-1.568429,2.319204,0.750525,2.154601
27,0.9,1,998.054295,114.363939,813.35495,138.946138,905.704622,126.655039,3.031413,1.555159,-1.566127,2.471855,0.732643,2.013507
28,0.933333,1,998.030281,114.289229,813.112984,139.414608,905.571632,126.851918,3.04608,1.614989,-1.56492,2.591271,0.74058,2.10313
29,0.966667,1,998.938713,115.116779,813.893013,140.198403,906.415863,127.657591,3.056764,1.643686,-1.574665,2.59662,0.741049,2.120153
30,1.0,1,1004.756985,118.02358,818.705444,140.77467,911.731215,129.399125,3.020261,1.631174,-1.539598,2.432192,0.740332,2.031683
31,1.033333,1,1006.120529,118.264349,820.637493,140.907362,913.379011,129.585855,2.991626,1.691547,-1.532871,2.347756,0.729377,2.019652
32,1.066667,1,1007.67231,119.094267,821.921635,140.816502,914.796972,129.955384,2.999362,1.535498,-1.555151,2.369291,0.722105,1.952394
33,1.1,1,1009.124451,119.816382,822.496262,141.420031,915.810356,130.618207,2.980822,1.642859,-1.556849,2.27606,0.711986,1.959459
34,1.133333,1,1009.846668,118.693634,823.902378,141.633269,916.874523,130.163451,3.016648,1.451378,-1.547075,2.432447,0.734786,1.941912
