frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1,0.033333,0,,,,,,,,,,,,
2,0.066667,0,,,,,,,,,,,,
3,0.1,0,,,,,,,,,,,,
4,0.133333,1,1149.038525,33.936422,927.729836,22.752602,1038.38418,28.344512,2.789451,3.293374,-1.56889,3.440007,0.61028,3.36669
5,0.166667,1,1148.979244,33.382224,927.663918,22.126218,1038.321581,27.754221,2.928407,1.995558,-1.617801,3.102412,0.655303,2.548985
6,0.2,0,,,,,,,,,,,,
7,0.233333,0,,,,,,,,,,,,
8,0.266667,0,,,,,,,,,,,,
9,0.3,0,,,,,,,,,,,,
10,0.333333,0,,,,,,,,,,,,
11,0.366667,0,,,,,,,,,,,,
12,0.4,1,1149.144363,33.80763,926.476974,24.049209,1037.810669,28.92842,2.859315,2.608702,-1.672462,4.753079,0.593427,3.68089
13,0.433333,1,1146.251507,32.946815,923.491344,23.704492,1034.871426,28.325653,2.827058,2.569959,-1.701016,3.451161,0.563021,3.01056
14,0.466667,1,1143.90276,33.911949,921.925526,25.210901,1032.914143,29.561425,2.737742,2.666816,-1.752658,3.546549,0.492542,3.106682
15,0.5,1,1134.326553,26.733237,914.273815,21.303686,1024.300184,24.018462,2.890409,2.846335,-1.842579,7.878827,0.523915,5.362581
16,0.533333,1,1125.680599,17.41649,893.263454,16.382109,1009.472027,16.899299,2.900209,1.637688,-2.056036,2.945762,0.422087,2.291725
17,0.566667,1,1098.489056,6.964286,870.198479,8.88015,984.343767,7.922218,2.782788,1.3281,-2.065299,2.497476,0.358744,1.912788
18,0.6,1,1109.447823,1.20631,847.887554,10.088212,978.667688,5.647261,3.161005,1.088659,-1.782235,2.681237,0.689385,1.884948
19,0.633333,1,1069.79763,-4.406542,836.827831,10.609794,953.312731,3.101626,3.146264,0.612743,-1.666097,3.662803,0.740084,2.137773
20,0.666667,1,1045.157528,-9.291218,818.465023,8.569159,931.811275,-0.361029,3.307433,0.120348,-1.810434,4.016517,0.7485,2.068432
21,0.7,1,1054.44418,-5.264023,813.097725,4.787942,933.770952,-0.238041,3.728459,0.479596,-1.736185,3.074681,0.996137,1.777138
22,0.733333,1,1049.178238,-8.57333,786.377125,5.883466,917.777681,-1.344932,4.215329,0.105043,-1.728842,2.276585,1.243243,1.190814
23,0.766667,1,1034.721756,-11.556713,772.988987,-1.954949,903.855371,-6.755831,4.259928,0.543615,-1.757331,0.967124,1.251298,0.75537
24,0.8,1,1004.253731,-16.025884,756.551723,-1.585136,880.402727,-8.80551,4.128875,-0.891861,-1.899075,0.252876,1.1149,-0.319493
25,0.833333,1,987.338524,-42.370086,740.798664,-19.261037,864.068594,-30.815561,4.733583,-0.941157,-1.63546,2.539922,1.549062,0.799383
26,0.866667,1,956.450291,-72.499251,738.244972,-33.613528,847.347631,-53.05639,4.216423,-0.838227,-1.46597,2.576284,1.375226,0.869028
27,0.9,1,933.975163,-98.703095,717.25111,-53.186084,825.613136,-75.94459,4.24912,-1.147331,-1.588082,3.542089,1.330519,1.197379
28,0.933333,0,,,,,,,,,,,,
29,0.966667,0,,,,,,,,,,,,
30,1.0,0,,,,,,,,,,,,
31,1.033333,0,,,,,,,,,,,,
32,1.066667,0,,,,,,,,,,,,
33,1.1,0,,,,,,,,,,,,
34,1.133333,0,,,,,,,,,,,,
35,1.166667,0,,,,,,,,,,,,
36,1.2,0,,,,,,,,,,,,
37,1.233333,0,,,,,,,,,,,,
38,1.266667,0,,,,,,,,,,,,
39,1.3,0,,,,,,,,,,,,
40,1.333333,0,,,,,,,,,,,,
41,1.366667,0,,,,,,,,,,,,
42,1.4,0,,,,,,,,,,,,
43,1.433333,0,,,,,,,,,,,,
44,1.466667,0,,,,,,,,,,,,
45,1.5,0,,,,,,,,,,,,
46,1.533333,0,,,,,,,,,,,,
47,1.566667,0,,,,,,,,,,,,
48,1.6,0,,,,,,,,,,,,
49,1.633333,0,,,,,,,,,,,,
50,1.666667,0,,,,,,,,,,,,
51,1.7,0,,,,,,,,,,,,
52,1.733333,0,,,,,,,,,,,,
53,1.766667,0,,,,,,,,,,,,
54,1.8,0,,,,,,,,,,,,
55,1.833333,0,,,,,,,,,,,,
56,1.866667,0,,,,,,,,,,,,
57,1.9,0,,,,,,,,,,,,
58,1.933333,0,,,,,,,,,,,,
59,1.966667,0,,,,,,,,,,,,
60,2.0,0,,,,,,,,,,,,
61,2.033333,0,,,,,,,,,,,,
62,2.066667,0,,,,,,,,,,,,
63,2.1,0,,,,,,,,,,,,
64,2.133333,0,,,,,,,,,,,,
65,2.166667,0,,,,,,,,,,,,
