frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1,0.033333,0,,,,,,,,,,,,
2,0.066667,0,,,,,,,,,,,,
3,0.1,0,,,,,,,,,,,,
4,0.133333,1,574.415779,376.795124,463.420401,371.461337,518.91809,374.12823,2.755235,1.595442,-1.500351,3.523276,0.627442,2.559359
5,0.166667,1,573.719759,375.979367,462.808399,371.117198,518.264079,373.548283,2.735256,2.119531,-1.546014,3.119512,0.594621,2.619522
6,0.2,0,,,,,,,,,,,,
7,0.233333,0,,,,,,,,,,,,
8,0.266667,0,,,,,,,,,,,,
9,0.3,1,575.203543,376.138401,463.423386,372.24864,519.313464,374.193521,2.864733,1.389787,-1.643301,4.142684,0.610716,2.766235
10,0.333333,1,575.039682,375.892507,463.884792,371.48789,519.462237,373.690199,2.7857,1.731907,-1.608964,3.761737,0.588368,2.746822
11,0.366667,1,575.16984,376.268274,462.079859,371.714376,518.624849,373.991325,2.873272,2.014838,-1.645836,3.826675,0.613718,2.920757
12,0.4,1,574.028168,376.312444,462.041636,371.335659,518.034902,373.824052,2.82136,1.421288,-1.599378,2.852881,0.610991,2.137085
13,0.433333,1,573.30143,376.20065,461.609936,371.755865,517.455683,373.978257,2.804574,1.456512,-1.57294,2.997488,0.615817,2.227
14,0.466667,1,571.810465,376.266375,460.71538,371.741896,516.262922,374.004135,2.82177,1.604882,-1.590162,3.421906,0.615804,2.513394
15,0.5,1,568.179646,373.470354,456.686592,370.47865,512.433119,371.974502,2.765638,2.309844,-1.737934,6.903271,0.513852,4.606558
16,0.533333,1,555.93668,369.043524,447.389355,367.211629,501.663017,368.127576,2.695588,1.514088,-1.796679,3.557171,0.449454,2.535629
17,0.566667,1,545.229588,365.703868,437.024307,366.393431,491.126947,366.04865,2.599864,1.078545,-1.809746,2.454594,0.395059,1.766569
18,0.6,1,535.103159,362.49189,429.070578,363.092523,482.086868,362.792206,2.651114,0.445352,-1.806291,2.062792,0.422412,1.254072
19,0.633333,1,526.525154,358.453707,421.026001,360.126611,473.775578,359.290159,2.680251,0.299853,-1.740728,2.089836,0.469762,1.194844
20,0.666667,1,516.882658,353.387325,414.905825,357.407409,465.894241,355.397367,2.803177,0.125285,-1.714048,1.764333,0.544565,0.944809
21,0.7,1,509.203033,348.184773,408.210897,353.99631,458.706965,351.090541,2.885507,0.165302,-1.774348,2.071373,0.555579,1.118337
22,0.733333,1,501.092196,343.087417,400.913553,351.659312,451.002874,347.373364,2.995919,0.199511,-1.741798,2.037546,0.62706,1.118529
23,0.766667,1,493.057432,336.450441,394.504595,348.527913,443.781013,342.489177,3.065468,0.119267,-1.78662,1.809292,0.639424,0.964279
24,0.8,1,485.181789,331.188242,388.223963,344.074604,436.702876,337.631423,3.123466,0.208848,-1.730105,1.631827,0.696681,0.920338
25,0.833333,1,478.428583,324.94746,381.481619,339.883422,429.955101,332.415441,3.298254,0.746143,-1.629533,1.498087,0.834361,1.122115
26,0.866667,1,469.496927,319.054309,375.807543,335.768913,422.652235,327.411611,3.593378,0.447687,-1.631193,1.547433,0.981092,0.99756
27,0.9,1,461.011105,314.095087,369.091663,330.268276,415.051384,322.181682,3.590325,0.275455,-1.651525,1.613409,0.9694,0.944432
28,0.933333,1,452.276373,306.861277,362.536612,325.747526,407.406492,316.304401,3.613863,0.258515,-1.635029,1.731915,0.989417,0.995215
29,0.966667,1,442.562637,300.783718,354.604092,318.985285,398.583364,309.884502,3.714472,-0.78311,-1.648948,1.840875,1.032762,0.528882
30,1.0,1,435.052776,295.75184,347.079315,316.259834,391.066046,306.005837,3.612903,-1.14888,-1.64892,2.257573,0.981991,0.554347
31,1.033333,1,427.872124,291.878452,337.676458,310.937322,382.774291,301.407887,3.298284,-4.144883,-1.653016,2.479419,0.822634,-0.832732
32,1.066667,1,422.43638,288.050757,332.410603,294.672402,377.423491,291.361579,3.356524,-6.692274,-1.721643,1.732159,0.817441,-2.480058
33,1.1,1,416.583042,284.95169,327.534657,291.759335,372.058849,288.355512,3.549679,-4.908517,-1.771378,1.29606,0.889151,-1.806229
34,1.133333,1,409.989262,283.826112,322.926726,287.771963,366.457994,285.799037,3.509742,-5.756523,-1.707882,1.993146,0.90093,-1.881688
35,1.166667,1,403.978138,281.956623,319.982009,281.552226,361.980073,281.754424,3.406136,-0.524257,-1.636999,0.945483,0.884569,0.210613
36,1.2,1,397.878618,281.577798,316.890759,283.103219,357.384689,282.340508,3.36526,0.047803,-1.590158,1.051952,0.887551,0.549877
