frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1,0.033333,1,634.769697,359.906611,527.635498,367.053427,581.202598,363.480019,2.934539,1.498173,-1.796449,1.731998,0.569045,1.615085
2,0.066667,1,635.517578,359.674273,527.82712,366.454468,581.672349,363.06437,2.930415,1.465472,-1.802314,1.703571,0.564051,1.584521
3,0.1,1,634.402065,360.977719,527.669649,367.682555,581.035857,364.330137,2.892076,1.445828,-1.862998,1.505562,0.514539,1.475695
4,0.133333,1,634.522371,361.653711,527.338486,368.407266,580.930429,365.030488,2.910062,1.29639,-1.876024,1.507022,0.517019,1.401706
5,0.166667,1,634.54772,361.690108,527.250481,368.308282,580.8991,364.999195,2.912846,1.345158,-1.875644,1.529659,0.518601,1.437409
6,0.2,1,634.554853,362.003111,527.244148,368.443476,580.899501,365.223294,2.921635,1.431049,-1.878666,1.545282,0.521484,1.488166
7,0.233333,1,634.614248,362.19299,526.939754,369.30528,580.777001,365.749135,2.912964,1.068241,-1.810234,1.430803,0.551365,1.249522
8,0.266667,1,634.361353,362.302655,527.024593,369.577986,580.692973,365.94032,2.897141,1.036185,-1.813152,1.467011,0.541995,1.251598
9,0.3,1,634.186783,362.677531,526.86348,370.011646,580.525131,366.344588,2.868488,0.928839,-1.815717,1.387338,0.526385,1.158088
10,0.333333,1,633.950129,362.871755,526.799326,370.190967,580.374727,366.531361,2.838916,0.822106,-1.813473,1.354481,0.512721,1.088294
11,0.366667,1,633.774567,363.244218,526.321278,370.303631,580.047922,366.773924,2.865585,1.142837,-1.814861,1.413033,0.525362,1.277935
12,0.4,1,633.645906,363.403514,526.0919,370.613673,579.868903,367.008593,2.888322,1.066074,-1.819205,1.344057,0.534558,1.205065
13,0.433333,1,633.528891,363.681064,525.806208,370.644046,579.667549,367.162555,2.891948,1.107814,-1.816611,1.394869,0.537668,1.251342
14,0.466667,1,633.411217,363.997001,525.579624,371.01918,579.49542,367.50809,2.874964,1.074408,-1.836798,1.431223,0.519083,1.252815
15,0.5,1,632.729445,363.778954,525.341377,370.966212,579.035411,367.372583,2.876379,1.157658,-1.82487,1.366931,0.525754,1.262294
16,0.533333,1,632.51029,363.809611,525.115166,371.147132,578.812728,367.478372,2.862826,1.091728,-1.822165,1.402221,0.520331,1.246974
17,0.566667,1,632.075338,363.822228,524.694843,371.204252,578.385091,367.51324,2.853266,1.088428,-1.820218,1.330406,0.516524,1.209417
18,0.6,1,631.708364,364.061578,524.553967,371.581306,578.131166,367.821442,2.850116,1.06826,-1.824627,1.378354,0.512745,1.223307
19,0.633333,1,631.624937,364.213268,524.35091,371.892421,577.987924,368.052844,2.852376,1.070745,-1.826514,1.401244,0.512931,1.235994
20,0.666667,1,631.534939,364.216561,524.119148,371.797332,577.827044,368.006946,2.843105,1.070847,-1.838233,1.363225,0.502436,1.217036
21,0.7,1,631.459675,364.244655,524.241428,371.996963,577.850552,368.120809,2.860871,1.080021,-1.833019,1.374245,0.513926,1.227133
22,0.733333,1,631.505899,364.289185,524.113779,372.143927,577.809839,368.216556,2.852959,1.037964,-1.839371,1.372292,0.506794,1.205128
23,0.766667,1,631.452656,364.329509,524.25415,372.198976,577.853403,368.264243,2.865695,1.057192,-1.827338,1.326745,0.519179,1.191968
24,0.8,1,631.427135,364.36345,524.238539,372.112899,577.832837,368.238174,2.874099,1.170735,-1.819802,1.376633,0.527149,1.273684
25,0.833333,1,631.188049,364.349497,523.632841,371.880459,577.410445,368.114978,2.917193,1.16173,-1.831075,1.447524,0.543059,1.304627
26,0.866667,1,630.737381,364.218337,523.099546,372.125419,576.918464,368.171878,2.911459,1.196483,-1.862105,1.440484,0.524677,1.318484
27,0.9,1,629.905949,364.342148,522.363615,372.080154,576.134782,368.211151,2.909219,1.119252,-1.847204,1.412491,0.531008,1.265872
28,0.933333,1,629.452124,364.438471,521.597147,372.458775,575.524635,368.448623,2.928326,1.195915,-1.852212,1.405795,0.538057,1.300855
29,0.966667,1,628.85232,364.506331,521.040955,372.928784,574.946637,368.717557,2.91964,1.05708,-1.865169,1.410027,0.527236,1.233553
30,1.0,1,628.367777,364.615138,520.6499,373.165687,574.508839,368.890412,2.929989,1.176328,-1.856632,1.435508,0.536678,1.305918
