frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1,0.033333,0,,,,,,,,,,,,
2,0.066667,1,510.401821,393.495866,468.854752,386.470238,489.628286,389.983052,5.965502,4.761443,-1.105785,2.979424,2.429858,3.870434
3,0.1,1,513.865938,389.775782,461.792536,384.461027,487.829237,387.118405,6.275768,3.552218,-1.059385,2.218428,2.608191,2.885323
4,0.133333,1,511.841707,391.475197,462.651119,385.240402,487.246413,388.3578,6.586997,4.576813,-0.97725,1.926439,2.804874,3.251626
5,0.166667,1,509.404745,391.621914,460.62995,384.919546,485.017347,388.27073,6.194137,2.929032,-1.000183,1.876902,2.596977,2.402967
6,0.2,1,502.957697,393.514009,454.894018,388.518137,478.925858,391.016073,7.482176,2.608798,-0.982801,1.862472,3.249687,2.235635
7,0.233333,1,501.677408,396.926519,455.031252,390.668324,478.35433,393.797421,8.168712,3.123263,-0.920758,1.793376,3.623977,2.458319
8,0.266667,1,499.491081,397.260153,450.907431,390.190204,475.199256,393.725179,8.439928,2.870923,-0.933982,1.717004,3.752973,2.293963
9,0.3,1,496.847801,400.097426,444.515734,394.870477,470.681767,397.483951,8.99466,3.02508,-0.994948,1.791412,3.999856,2.408246
10,0.333333,1,490.907516,403.146894,447.032852,395.83913,468.970184,399.493012,7.333236,2.226777,-0.946175,1.719154,3.193531,1.972965
11,0.366667,1,491.44105,403.352448,443.858509,396.499683,467.649779,399.926065,8.544647,2.963227,-1.008555,1.810669,3.768046,2.386948
12,0.4,1,490.418901,405.183088,445.123749,398.463575,467.771325,401.823331,7.49297,2.408658,-0.931512,1.930534,3.280729,2.169596
13,0.433333,1,492.336216,405.290226,445.403996,397.894346,468.870106,401.592286,8.78977,2.782281,-0.929391,2.145509,3.930189,2.463895
14,0.466667,1,493.944588,404.318837,445.021524,396.954703,469.483056,400.63677,10.482052,3.439809,-0.967943,1.700261,4.757055,2.570035
15,0.5,1,495.062761,405.194299,441.863375,398.922586,468.463068,402.058443,10.942412,3.865352,-0.970957,1.484698,4.985727,2.675025
16,0.533333,1,495.565748,404.286479,442.519026,399.042728,469.042387,401.664603,9.201308,3.793742,-0.910882,1.68409,4.145213,2.738916
17,0.566667,1,495.636072,403.913137,443.812904,398.814794,469.724488,401.363965,10.261326,3.925402,-0.902907,1.494944,4.679209,2.710173
18,0.6,1,496.675348,403.861917,443.922863,399.818316,470.299106,401.840116,9.140454,3.61263,-0.876287,1.519131,4.132083,2.565881
19,0.633333,1,495.859604,403.453889,443.594837,402.355975,469.727221,402.904932,8.997339,3.591,-0.911054,1.809602,4.043142,2.700301
20,0.666667,1,497.875118,402.922769,446.367655,400.207729,472.121387,401.565249,9.070893,2.666233,-0.86641,1.618305,4.102242,2.142269
21,0.7,1,498.723917,403.659421,444.874134,400.722864,471.799026,402.191142,9.422545,3.871227,-0.945095,1.556531,4.238725,2.713879
22,0.733333,1,497.753477,403.470894,441.656723,404.573625,469.7051,404.02226,8.330451,3.95558,-1.029937,1.979475,3.650257,2.967527
23,0.766667,1,499.345808,402.850156,440.042868,400.33625,469.694338,401.593203,8.44628,3.295133,-1.077803,1.58694,3.684239,2.441036
24,0.8,1,498.718805,403.280447,441.361446,403.808016,470.040126,403.544231,10.125911,4.462794,-0.96608,1.875732,4.579915,3.169263
25,0.833333,1,498.266516,402.610173,441.997137,399.204937,470.131826,400.907555,10.10668,3.794529,-0.970105,1.131007,4.568287,2.462768
26,0.866667,1,498.527164,402.663345,439.414129,400.172431,468.970647,401.417888,8.905868,5.35344,-1.006409,1.205321,3.949729,3.27938
27,0.9,1,498.340502,402.248161,440.89612,399.534076,469.618311,400.891119,8.783999,3.822584,-0.987349,1.278742,3.898325,2.550663
28,0.933333,1,498.526011,401.565667,439.615231,401.319537,469.070621,401.442602,8.585998,4.026679,-1.030124,1.320256,3.777937,2.673468
29,0.966667,1,498.921585,401.817688,439.675503,405.287157,469.298544,403.552423,8.738066,5.131317,-1.037267,1.70019,3.8504,3.415753
30,1.0,1,498.992939,401.777476,438.390665,407.859503,468.691802,404.81849,7.842852,5.9062,-1.128111,1.96683,3.357371,3.936515
31,1.033333,1,500.879059,401.264488,445.921507,401.737726,473.400283,401.501107,8.645441,3.890387,-0.948622,1.472691,3.848409,2.681539
32,1.066667,1,501.144857,400.87266,442.354794,400.591092,471.749825,400.731876,8.140919,3.944888,-1.034509,1.565701,3.553205,2.755295
33,1.1,1,502.307673,401.602607,444.149256,404.702479,473.228464,403.152543,7.710763,4.74025,-1.024814,1.719338,3.342974,3.229794
34,1.133333,1,503.67053,401.981764,445.509491,408.994689,474.590011,405.488226,7.740077,4.854507,-1.026956,1.979045,3.356561,3.416776
35,1.166667,1,505.279131,402.497091,441.284266,410.586644,473.281698,406.541868,6.295915,6.549846,-1.178633,1.94534,2.558641,4.247593
36,1.2,1,510.527925,401.348011,457.178574,404.798191,483.85325,403.073101,6.68693,6.33175,-0.849498,1.145908,2.918716,3.738829
37,1.233333,1,520.525761,403.769392,454.642687,409.505693,487.584224,406.637542,4.71887,3.34713,-1.137579,2.51909,1.790646,2.93311
38,1.266667,1,537.344618,403.371491,458.571234,423.017203,497.957926,413.194347,4.433193,-0.63435,-1.404833,4.548248,1.51418,1.956949
39,1.3,1,569.182701,400.711566,482.478361,412.854184,525.830531,406.782875,3.365986,0.778592,-1.471166,2.48729,0.94741,1.632941
40,1.333333,1,600.746431,394.430948,506.456747,409.885172,553.601589,402.15806,3.030147,6.428652,-1.525689,5.020669,0.752229,5.724661
41,1.366667,1,636.423712,389.448617,538.619137,401.883273,587.521424,395.665945,2.972944,7.088452,-1.771559,2.675823,0.600693,4.882138
42,1.4,1,667.917385,384.673008,573.707256,396.193128,620.812321,390.433068,2.924516,4.949124,-1.818033,4.142277,0.553242,4.545701
43,1.433333,1,690.524597,381.769323,607.103596,394.002514,648.814096,387.885919,2.579339,4.364885,-2.213123,5.985975,0.183108,5.17543
44,1.466667,1,707.119694,383.780476,633.680696,391.696211,670.400195,387.738343,2.389634,5.870491,-2.552112,0.385939,-0.081239,3.128215
45,1.5,1,720.463257,384.849776,632.195253,398.168617,676.329255,391.509197,2.291205,6.081656,-3.717166,1.35624,-0.71298,3.718948
46,1.533333,1,729.870911,378.993065,651.829872,391.905713,690.850391,385.449389,2.341606,3.557331,-3.087868,2.790018,-0.373131,3.173674
47,1.566667,1,734.501724,372.376088,653.333969,393.377903,693.917847,382.876995,2.354446,3.013027,-3.132883,3.528747,-0.389218,3.270887
48,1.6,1,733.133106,375.904276,655.512028,394.301076,694.322567,385.102676,2.286584,3.105548,-3.612535,12.07888,-0.662976,7.592214
49,1.633333,1,729.620457,376.254358,652.980213,396.144751,691.300335,386.199555,2.160873,3.245738,-3.495589,7.995823,-0.667358,5.62078
50,1.666667,1,733.953686,373.759217,655.405331,396.237448,694.679508,384.998333,2.283482,3.727004,-3.306777,7.475311,-0.511647,5.601157
51,1.7,1,733.868885,378.876368,648.448582,397.654095,691.158733,388.265231,2.29577,2.61867,-3.964856,7.367591,-0.834543,4.993131
52,1.733333,1,724.579144,387.994645,640.09306,400.810969,682.336102,394.402807,2.113089,3.504705,-3.898454,4.191567,-0.892683,3.848136
53,1.766667,1,726.165886,391.279857,640.790424,398.492789,683.478155,394.886323,2.367253,4.451939,-3.232805,2.071163,-0.432776,3.261551
54,1.8,1,712.714462,397.636778,647.635155,401.727759,680.174809,399.682269,2.328789,10.287427,-2.068345,7.047906,0.130222,8.667667
55,1.833333,1,694.281845,398.460453,621.434307,402.588973,657.858076,400.524713,2.287998,34.226134,-2.059602,21.103043,0.114198,27.664589
56,1.866667,1,673.838158,399.688851,591.059198,403.538861,632.448678,401.613856,2.338836,50.370861,-1.744099,7.875633,0.297369,29.123247
57,1.9,1,658.366737,401.245841,562.335024,402.572547,610.350881,401.909194,2.610846,91.76329,-1.539979,6.142733,0.535433,48.953012
58,1.933333,1,629.657192,400.572048,536.92956,402.639978,583.293376,401.606013,2.72098,6.126752,-1.613135,5.468965,0.553922,5.797859
59,1.966667,1,613.632879,403.0909,513.623734,400.255119,563.628306,401.673009,3.056965,1.315625,-1.635992,2.073334,0.710487,1.69448
60,2.0,1,589.602976,401.395723,503.088551,399.029682,546.345763,400.212702,3.363109,0.730614,-1.453817,2.673087,0.954646,1.70185
61,2.033333,1,574.892206,400.43267,496.614866,395.97868,535.753536,398.205675,3.843348,1.084416,-1.299304,1.954815,1.272022,1.519615
62,2.066667,1,563.443232,400.361516,488.554773,395.844108,525.999002,398.102812,4.775278,2.239588,-1.380133,2.513908,1.697572,2.376748
63,2.1,1,564.573307,400.84425,486.31032,398.414222,525.441813,399.629236,4.960352,1.75267,-1.392646,1.990238,1.783853,1.871454
64,2.133333,1,553.850574,400.523651,482.311039,399.467472,518.080807,399.995561,4.573737,2.447074,-1.38949,2.866676,1.592123,2.656875
65,2.166667,1,544.676714,401.546409,473.715343,402.121915,509.196029,401.834162,4.878786,3.894079,-1.323024,2.99295,1.777881,3.443514
66,2.2,1,533.199139,401.704606,466.177893,401.950275,499.688516,401.82744,4.48471,3.188198,-1.269276,2.687275,1.607717,2.937736
67,2.233333,1,525.914249,403.317547,456.788635,401.196209,491.351442,402.256878,4.59227,3.475687,-1.245753,2.214702,1.673259,2.845194
68,2.266667,1,516.86779,404.021122,451.853914,401.653944,484.360852,402.837533,4.985192,5.142847,-1.18157,1.787542,1.901811,3.465195
