frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1,0.033333,0,,,,,,,,,,,,
2,0.066667,0,,,,,,,,,,,,
3,0.1,0,,,,,,,,,,,,
4,0.133333,1,530.275202,406.763606,433.601818,409.780061,481.93851,408.271834,2.856041,0.966493,-1.786468,1.415169,0.534786,1.190831
5,0.166667,1,530.873585,406.661607,432.517557,409.266858,481.695571,407.964233,2.755542,0.938458,-1.81498,2.027771,0.470281,1.483115
6,0.2,1,542.874708,391.826684,431.741486,405.736073,487.308097,398.781379,2.753974,3.291353,-1.655736,5.219039,0.549119,4.255196
7,0.233333,1,543.082952,380.373995,433.497009,400.004246,488.289981,390.189121,2.668796,2.028222,-1.714662,4.462208,0.477067,3.245215
8,0.266667,1,535.180674,376.342474,423.087463,403.459253,479.134068,389.900864,2.657779,2.289229,-1.939449,4.58938,0.359165,3.439305
9,0.3,1,532.460737,404.785627,432.698965,407.997336,482.579851,406.391482,2.815636,0.645819,-1.864394,2.273772,0.475621,1.459796
10,0.333333,1,532.360249,406.222047,432.164145,408.285652,482.262197,407.25385,2.740722,0.86825,-1.855597,1.838373,0.442562,1.353311
11,0.366667,1,532.766609,405.724894,432.287169,408.398509,482.526889,407.061701,2.738516,0.596772,-1.879923,2.277906,0.429296,1.437339
12,0.4,1,532.373571,406.567869,432.353783,408.292165,482.363677,407.430017,2.707278,0.724581,-1.869309,2.04189,0.418984,1.383236
13,0.433333,1,532.3211,405.985014,432.402325,408.139279,482.361712,407.062147,2.708855,0.566119,-1.845357,2.212749,0.431749,1.389434
14,0.466667,1,532.093678,406.198958,432.407427,408.489361,482.250552,407.344159,2.721401,0.599775,-1.880222,2.341194,0.42059,1.470485
15,0.5,1,532.650738,405.917562,432.412891,408.308998,482.531815,407.11328,2.722239,0.693922,-1.8421,2.11202,0.44007,1.402971
16,0.533333,1,532.171335,406.459723,432.164583,408.276039,482.167959,407.367881,2.70367,0.777921,-1.856035,2.227712,0.423818,1.502817
17,0.566667,1,532.50803,405.908732,432.251682,408.067449,482.379856,406.988091,2.734824,0.707254,-1.86159,2.195077,0.436617,1.451166
18,0.6,1,532.065039,406.48412,432.260427,408.129966,482.162733,407.307043,2.720164,0.72664,-1.846733,2.256821,0.436715,1.491731
19,0.633333,1,532.109671,405.742832,432.523413,408.2182,482.316542,406.980516,2.731315,0.684491,-1.842935,2.312569,0.44419,1.49853
20,0.666667,1,531.645403,406.235275,432.266979,408.05391,481.956191,407.144592,2.723002,0.695997,-1.833782,2.309291,0.44461,1.502644
21,0.7,1,531.64197,405.579432,432.325039,407.873225,481.983504,406.726329,2.727928,0.585904,-1.830687,1.953176,0.44862,1.26954
22,0.733333,1,531.30024,405.927465,432.264013,408.208458,481.782126,407.067962,2.710152,0.584625,-1.83171,1.937587,0.439221,1.261106
23,0.766667,1,531.66172,405.492454,432.460146,408.278153,482.060933,406.885303,2.763277,0.688983,-1.829145,1.816879,0.467066,1.252931
24,0.8,1,532.808876,405.99849,432.860546,408.05038,482.834711,407.024435,2.76518,0.7082,-1.878553,1.753115,0.443314,1.230657
25,0.833333,1,533.327665,405.5663,432.983084,407.921537,483.155375,406.743919,2.755978,0.633919,-1.866344,1.918366,0.444817,1.276143
26,0.866667,1,533.171864,406.032726,432.704668,408.008215,482.938266,407.02047,2.746968,0.770874,-1.874299,2.14414,0.436335,1.457507
27,0.9,1,531.02293,408.444546,433.45602,409.510392,482.239475,408.977469,2.800944,1.323787,-1.760883,2.02137,0.520031,1.672578
28,0.933333,1,528.551416,409.106462,432.824516,409.201208,480.687966,409.153835,2.725721,1.897887,-1.795882,2.66858,0.46492,2.283233
29,0.966667,1,528.953514,406.619775,432.41725,409.344395,480.685382,407.982085,2.751581,1.250019,-1.801088,2.367127,0.475246,1.808573
30,1.0,1,529.650984,405.726299,432.658768,408.452497,481.154876,407.089398,2.747097,1.001266,-1.879993,2.07267,0.433552,1.536968
31,1.033333,1,528.886232,405.700539,431.616678,407.601281,480.251455,406.65091,2.719519,0.863144,-1.878307,2.065022,0.420606,1.464083
32,1.066667,1,528.572407,405.02871,432.091484,406.812755,480.331945,405.920733,2.731408,0.781941,-1.908321,1.822288,0.411544,1.302115
33,1.1,1,528.618774,405.039804,431.434259,406.724231,480.026517,405.882018,2.70779,0.70597,-1.947083,1.635043,0.380353,1.170507
34,1.133333,1,529.443007,404.875073,431.872959,406.906074,480.657983,405.890574,2.742594,0.592536,-1.929463,1.864176,0.406565,1.228356
