frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1,0.033333,0,,,,,,,,,,,,
2,0.066667,0,,,,,,,,,,,,
3,0.1,1,566.693974,377.364686,467.071095,379.361268,516.882534,378.362977,2.871945,2.519089,-1.628648,1.2567,0.621648,1.887894
4,0.133333,1,567.708359,377.384266,467.05514,379.702638,517.381749,378.543452,2.896364,1.492698,-1.638285,1.104815,0.629039,1.298757
5,0.166667,0,,,,,,,,,,,,
6,0.2,0,,,,,,,,,,,,
7,0.233333,0,,,,,,,,,,,,
8,0.266667,1,564.047146,374.996402,463.146706,378.993323,513.596926,376.994863,2.876048,2.726608,-1.708289,1.513907,0.58388,2.120257
9,0.3,1,563.254499,374.323393,462.604055,378.841338,512.929277,376.582366,2.906163,1.399775,-1.643508,1.334045,0.631327,1.36691
10,0.333333,1,561.871376,373.980843,461.213379,379.461433,511.542377,376.721138,2.757225,1.45264,-1.623961,1.645853,0.566632,1.549246
11,0.366667,1,562.169285,374.952146,460.991964,379.602571,511.580625,377.277358,2.966532,0.8373,-1.792361,1.338708,0.587086,1.088004
12,0.4,1,560.801668,374.529848,459.145651,379.453032,509.97366,376.99144,2.919251,1.186203,-1.799687,1.630746,0.559782,1.408475
13,0.433333,1,559.713449,374.238528,458.309784,379.460489,509.011617,376.849508,2.921246,1.126047,-1.786232,1.554302,0.567507,1.340174
14,0.466667,1,558.274784,373.941725,456.794825,380.15752,507.534804,377.049623,2.921638,1.221237,-1.752056,1.584583,0.584791,1.40291
15,0.5,1,557.263031,373.829416,456.090546,380.29634,506.676788,377.062878,2.945425,1.019439,-1.732478,1.575069,0.606474,1.297254
16,0.533333,1,555.943594,373.772864,454.935369,380.577532,505.439482,377.175198,2.937789,1.002333,-1.732683,1.501269,0.602553,1.251801
17,0.566667,1,554.493008,374.063981,453.129339,381.111463,503.811173,377.587722,2.940012,0.960319,-1.74535,1.455968,0.597331,1.208143
18,0.6,1,550.977869,374.0912,448.683701,382.052854,499.830785,378.072027,2.808654,1.094014,-1.860877,1.306661,0.473889,1.200338
19,0.633333,1,548.952694,373.781158,446.787291,382.676747,497.869992,378.228952,2.825477,1.19999,-1.866765,1.367466,0.479356,1.283728
20,0.666667,1,547.33119,374.20529,444.780626,383.537832,496.055908,378.871561,2.81885,1.007631,-1.81864,1.276789,0.500105,1.14221
21,0.7,1,544.584351,374.122882,442.043047,384.165705,493.313699,379.144294,2.828334,1.112939,-1.857816,1.407291,0.485259,1.260115
22,0.733333,1,542.912207,374.414974,440.294485,384.828973,491.603346,379.621974,2.813121,1.06585,-1.759798,1.407836,0.526661,1.236843
23,0.766667,1,540.289907,374.496943,437.539549,385.326297,488.914728,379.91162,2.832784,1.055393,-1.823304,1.389908,0.50474,1.22265
24,0.8,1,538.08671,374.438535,435.402956,385.871322,486.744833,380.154929,2.846755,0.931926,-1.78871,1.28838,0.529023,1.110153
25,0.833333,1,537.101974,374.540244,435.328283,387.278988,486.215129,380.909616,2.986732,0.656951,-1.706552,1.471184,0.64009,1.064068
26,0.866667,1,535.973444,374.256681,433.700047,388.138872,484.836745,381.197777,3.08621,0.509504,-1.696446,1.633876,0.694882,1.07169
27,0.9,1,533.160849,374.10843,430.798597,388.660605,481.979723,381.384518,3.050448,0.656105,-1.699556,1.690996,0.675446,1.17355
28,0.933333,1,530.366421,374.384269,428.395672,389.485449,479.381046,381.934859,3.019647,0.664525,-1.65365,1.694298,0.682999,1.179412
29,0.966667,1,528.042116,374.904263,425.514317,390.543559,476.778216,382.723911,2.978804,0.710657,-1.692661,1.451768,0.643072,1.081212
30,1.0,1,526.020088,375.40162,423.427544,391.559837,474.723816,383.480728,3.015493,0.702725,-1.689377,1.374529,0.663058,1.038627
31,1.033333,1,524.179411,375.532383,421.738014,392.160727,472.958713,383.846555,2.976961,0.788288,-1.67443,1.396563,0.651266,1.092426
32,1.066667,1,522.494879,375.737025,420.364609,392.913913,471.429744,384.325469,2.994998,0.830825,-1.65792,1.431809,0.668539,1.131317
33,1.1,1,521.190357,375.817555,419.445267,393.480202,470.317812,384.648879,3.021833,0.820399,-1.686275,1.512742,0.667779,1.16657
34,1.133333,1,520.31148,375.878356,418.429346,393.8579,469.370413,384.868128,3.02108,0.811662,-1.663088,1.607201,0.678996,1.209432
35,1.166667,1,520.581675,376.029203,418.360481,394.169916,469.471078,385.099559,3.074738,0.899728,-1.659174,1.840643,0.707782,1.370185
36,1.2,1,519.952421,376.239778,417.804632,394.565306,468.878527,385.402542,3.072765,0.847205,-1.67208,1.88328,0.700342,1.365242
