frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1,0.033333,0,,,,,,,,,,,,
2,0.066667,0,,,,,,,,,,,,
3,0.1,0,,,,,,,,,,,,
4,0.133333,0,,,,,,,,,,,,
5,0.166667,0,,,,,,,,,,,,
6,0.2,0,,,,,,,,,,,,
7,0.233333,0,,,,,,,,,,,,
8,0.266667,0,,,,,,,,,,,,
9,0.3,0,,,,,,,,,,,,
10,0.333333,0,,,,,,,,,,,,
11,0.366667,0,,,,,,,,,,,,
12,0.4,0,,,,,,,,,,,,
13,0.433333,0,,,,,,,,,,,,
14,0.466667,0,,,,,,,,,,,,
15,0.5,0,,,,,,,,,,,,
16,0.533333,0,,,,,,,,,,,,
17,0.566667,0,,,,,,,,,,,,
18,0.6,0,,,,,,,,,,,,
19,0.633333,0,,,,,,,,,,,,
20,0.666667,0,,,,,,,,,,,,
21,0.7,0,,,,,,,,,,,,
22,0.733333,0,,,,,,,,,,,,
23,0.766667,0,,,,,,,,,,,,
24,0.8,0,,,,,,,,,,,,
25,0.833333,0,,,,,,,,,,,,
26,0.866667,0,,,,,,,,,,,,
27,0.9,0,,,,,,,,,,,,
28,0.933333,0,,,,,,,,,,,,
29,0.966667,0,,,,,,,,,,,,
30,1.0,0,,,,,,,,,,,,
31,1.033333,0,,,,,,,,,,,,
32,1.066667,0,,,,,,,,,,,,
33,1.1,0,,,,,,,,,,,,
34,1.133333,0,,,,,,,,,,,,
35,1.166667,0,,,,,,,,,,,,
36,1.2,0,,,,,,,,,,,,
37,1.233333,0,,,,,,,,,,,,
38,1.266667,0,,,,,,,,,,,,
39,1.3,0,,,,,,,,,,,,
40,1.333333,0,,,,,,,,,,,,
41,1.366667,0,,,,,,,,,,,,
42,1.4,0,,,,,,,,,,,,
43,1.433333,0,,,,,,,,,,,,
44,1.466667,0,,,,,,,,,,,,
45,1.5,1,461.38854,311.509303,374.622421,330.334822,418.005481,320.922063,3.351522,2.064,-1.307858,2.808225,1.021832,2.436113
46,1.533333,1,463.740587,309.831153,372.290525,322.41656,418.015556,316.123856,3.117175,0.963419,-1.585914,2.442696,0.765631,1.703057
47,1.566667,1,465.703173,309.730173,373.831348,323.483157,419.767261,316.606665,3.069577,0.828917,-1.669322,2.580365,0.700128,1.704641
48,1.6,1,466.175184,310.03477,374.919014,323.357458,420.547099,316.696114,3.054818,0.920239,-1.61168,2.501394,0.721569,1.710817
49,1.633333,1,468.374348,309.47848,376.870537,323.156807,422.622442,316.317643,2.947335,0.967203,-1.614486,2.106451,0.666425,1.536827
50,1.666667,1,470.388498,308.95671,378.290443,323.529253,424.339471,316.242981,2.990594,0.706104,-1.622035,2.08045,0.684279,1.393277
51,1.7,1,471.999454,308.851572,380.80452,323.910223,426.401987,316.380898,2.990423,0.547299,-1.637545,2.292982,0.676439,1.420141
52,1.733333,1,474.113646,309.212517,382.539806,323.775517,428.326726,316.494017,3.025363,0.759523,-1.55653,2.404494,0.734417,1.582009
53,1.766667,1,478.525572,310.116593,386.390867,324.75535,432.45822,317.435971,3.105523,0.706738,-1.591999,2.65888,0.756762,1.682809
54,1.8,1,480.019608,310.979787,388.876057,324.684684,434.447832,317.832236,3.085586,0.494741,-1.57861,2.409664,0.753488,1.452203
55,1.833333,1,482.144728,311.319677,390.581474,323.928269,436.363101,317.623973,3.033895,0.677768,-1.581334,2.211767,0.72628,1.444767
56,1.866667,1,483.455563,310.643765,391.245193,323.466135,437.350378,317.05495,2.991916,0.720402,-1.596142,2.168166,0.697887,1.444284
57,1.9,1,483.689985,309.891524,391.059885,323.193129,437.374935,316.542327,2.963287,0.877489,-1.623208,1.99915,0.67004,1.438319
58,1.933333,1,484.236784,311.310541,390.794306,322.959042,437.515545,317.134792,2.960022,1.008966,-1.632404,2.110127,0.663809,1.559546
59,1.966667,1,486.825457,313.275211,392.477951,323.600852,439.651704,318.438031,3.103847,0.938247,-1.553008,2.393041,0.77542,1.665644
60,2.0,1,491.565523,316.961542,396.646805,325.987696,444.106164,321.474619,3.188145,0.395207,-1.477706,3.50393,0.85522,1.949568
61,2.033333,1,493.895149,318.365883,398.458042,327.129947,446.176596,322.747915,3.152356,-0.111265,-1.415307,2.843684,0.868524,1.36621
62,2.066667,1,495.501928,318.0902,399.310341,326.803039,447.406135,322.44662,3.129593,-0.047574,-1.421006,3.559378,0.854293,1.755902
63,2.1,1,495.536089,318.059059,399.090939,326.771802,447.313514,322.415431,3.127237,-0.089511,-1.418021,3.466114,0.854608,1.688302
