frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1,0.033333,0,,,,,,,,,,,,
2,0.066667,1,753.007946,346.495024,680.568466,324.016637,716.788206,335.255831,2.450928,2.292896,-2.480925,-0.681902,-0.014998,0.805497
3,0.1,1,754.464378,347.779781,683.405132,324.502525,718.934755,336.141153,2.402353,1.666754,-2.286008,0.121117,0.058173,0.893935
4,0.133333,1,755.60667,347.86788,683.871193,324.308649,719.738932,336.088265,2.512571,2.112672,-2.339108,0.060535,0.086731,1.086604
5,0.166667,1,754.928799,347.228104,683.619423,324.354644,719.274111,335.791374,2.462457,2.058127,-2.447848,0.056041,0.007304,1.057084
6,0.2,1,757.499237,347.156414,686.323967,324.405102,721.911602,335.780758,2.510697,2.032228,-2.462127,0.07937,0.024285,1.055799
7,0.233333,1,760.760918,347.502016,688.446865,324.501881,724.603891,336.001949,2.489641,1.975539,-2.593385,-0.094241,-0.051872,0.940649
8,0.266667,1,762.572327,347.53548,690.135574,324.577927,726.353951,336.056703,2.561569,1.817995,-2.611758,-0.037778,-0.025095,0.890109
9,0.3,1,763.43317,348.024698,690.944691,324.894851,727.188931,336.459775,2.527981,1.881082,-2.839351,-0.344486,-0.155685,0.768298
10,0.333333,1,764.252281,348.538266,691.124973,324.892958,727.688627,336.715612,2.5343,1.8952,-2.845553,-0.200593,-0.155626,0.847304
11,0.366667,1,763.952637,348.300692,692.636375,325.312568,728.294506,336.80663,2.461465,1.921157,-2.773388,-0.416249,-0.155961,0.752454
12,0.4,1,765.438766,349.354833,693.404694,325.341702,729.42173,337.348267,2.508899,2.094192,-2.875315,-0.411415,-0.183208,0.841389
13,0.433333,1,765.596085,349.575444,694.451008,325.700989,730.023546,337.638217,2.481727,2.082617,-2.972828,-0.34546,-0.245551,0.868578
