frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1,0.033333,1,630.471153,391.199155,520.546408,411.382349,575.50878,401.290752,4.548649,5.594154,-1.8543,5.656675,1.347175,5.625414
2,0.066667,1,629.420986,383.951515,533.707857,407.250642,581.564422,395.601078,4.086931,3.91432,-1.676678,5.846328,1.205126,4.880324
3,0.1,1,621.896219,378.820653,544.113178,397.733992,583.004699,388.277323,4.183749,3.140262,-1.641301,4.296518,1.271224,3.71839
4,0.133333,1,620.668869,372.696226,543.996553,382.879232,582.332711,377.787729,3.658995,0.284821,-1.783481,0.966201,0.937757,0.625511
5,0.166667,1,610.092888,353.213164,521.594906,359.579397,565.843897,356.396281,3.703649,-4.741238,-1.724224,6.114972,0.989713,0.686867
6,0.2,1,591.628733,324.614153,503.681469,338.238031,547.655101,331.426092,3.22947,1.992636,-1.979599,4.25783,0.624936,3.125233
7,0.233333,1,589.907045,323.819763,502.764502,336.680837,546.335773,330.2503,3.130677,0.054389,-1.80002,1.981591,0.665329,1.01799
8,0.266667,1,588.440304,323.400105,502.885695,336.287679,545.662999,329.843892,3.095599,0.164918,-1.789352,2.166025,0.653124,1.165472
9,0.3,1,586.085377,323.675723,501.586542,336.714483,543.835959,330.195103,3.057811,0.2446,-1.72267,2.04458,0.66757,1.14459
10,0.333333,1,585.01461,323.735129,500.895128,336.50762,542.954869,330.121374,3.052922,0.231034,-1.711592,1.990006,0.670665,1.11052
11,0.366667,1,583.849955,323.68849,499.621878,336.536293,541.735916,330.112392,3.111422,0.160691,-1.75401,1.872943,0.678706,1.016817
12,0.4,1,581.783056,323.96405,498.972721,336.637273,540.377889,330.300661,3.132686,0.139863,-1.770888,1.932957,0.680899,1.03641
13,0.433333,1,580.115623,323.938344,497.668924,336.825719,538.892274,330.382032,3.179059,0.22252,-1.764351,2.087519,0.707354,1.155019
14,0.466667,1,578.174973,324.132412,496.668262,337.326928,537.421618,330.72967,3.227675,0.14436,-1.7233,1.976763,0.752187,1.060561
15,0.5,1,578.94701,323.959463,495.712767,335.878707,537.329888,329.919085,3.285346,0.212232,-1.672908,1.836533,0.806219,1.024383
16,0.533333,1,582.656641,321.365279,497.928505,334.496704,540.292573,327.930991,3.360903,0.109998,-1.633883,2.06459,0.86351,1.087294
17,0.566667,1,583.583517,320.922355,498.007898,334.797294,540.795708,327.859824,3.410846,0.091915,-1.620439,1.941961,0.895203,1.016938
18,0.6,1,584.336309,320.7092,498.033972,334.641098,541.185141,327.675149,3.328808,-0.068594,-1.64054,1.972375,0.844134,0.951891
19,0.633333,1,584.805574,320.923573,498.258142,334.281752,541.531858,327.602662,3.295215,-0.015031,-1.671925,1.93197,0.811645,0.958469
20,0.666667,1,585.679331,320.274977,498.404408,333.870451,542.041869,327.072714,3.310454,-0.016439,-1.690658,1.868632,0.809898,0.926096
21,0.7,1,586.666689,319.768903,498.308029,333.807687,542.487359,326.788295,3.255686,-0.071029,-1.703878,1.751519,0.775904,0.840245
22,0.733333,1,587.955179,319.23987,499.487371,332.690231,543.721275,325.96505,3.292883,0.058208,-1.681006,1.643627,0.805939,0.850917
23,0.766667,1,588.207493,318.217181,499.276285,331.12507,543.741889,324.671126,3.166664,0.124169,-1.733302,1.818136,0.716681,0.971152
24,0.8,1,589.415674,317.69679,499.982157,330.876344,544.698915,324.286567,3.146759,0.082413,-1.784991,1.866155,0.680884,0.974284
25,0.833333,1,591.481543,317.943789,501.017923,331.129126,546.249733,324.536457,3.128911,0.057177,-1.80441,1.88807,0.662251,0.972623
26,0.866667,1,593.575315,318.662213,502.707758,331.566079,548.141537,325.114146,3.131349,0.016993,-1.800881,1.871612,0.665234,0.944302
27,0.9,1,595.513573,319.225026,504.626236,332.012501,550.069904,325.618764,3.122846,0.00955,-1.765413,1.935353,0.678717,0.972451
28,0.933333,1,597.1978,319.852513,505.373201,332.038261,551.285501,325.945387,3.121504,0.082651,-1.775119,1.99811,0.673193,1.04038
29,0.966667,1,598.976278,320.206184,506.426668,332.181641,552.701473,326.193912,3.095135,0.131256,-1.802083,2.000611,0.646526,1.065933
30,1.0,1,599.95368,319.784423,507.586784,332.019179,553.770232,325.901801,3.032624,0.180849,-1.822426,2.025034,0.605099,1.102941
31,1.033333,1,601.302032,319.411536,508.862543,331.564314,555.082288,325.487925,3.034153,0.124736,-1.860264,2.089739,0.586944,1.107237
32,1.066667,1,601.994209,319.29986,510.1262,331.361384,556.060205,325.330622,3.032183,0.137474,-1.819218,2.006071,0.606483,1.071773
