frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1,0.033333,1,634.999838,445.273454,510.470972,460.01436,572.735405,452.643907,2.905609,6.806827,-2.02949,3.708324,0.43806,5.257575
2,0.066667,1,631.338024,447.6902,507.556114,462.05183,569.447069,454.871015,2.872825,4.97831,-1.998755,2.172271,0.437035,3.575291
3,0.1,1,628.258085,448.339498,505.762978,462.561214,567.010531,455.450356,2.833527,3.516945,-1.988414,2.241785,0.422556,2.879365
4,0.133333,1,628.060865,448.736594,503.176546,465.007281,565.618706,456.871938,2.804271,2.914106,-1.859285,2.386205,0.472493,2.650155
5,0.166667,1,627.939987,448.767954,502.760944,464.859889,565.350466,456.813921,2.698962,4.009992,-1.850854,3.319215,0.424054,3.664604
6,0.2,1,625.932903,449.617603,500.3409,466.693844,563.136902,458.155723,2.774258,3.483581,-1.870138,3.005176,0.45206,3.244379
7,0.233333,1,623.556519,450.851623,497.908945,468.416369,560.732732,459.633996,2.81845,3.605572,-1.800084,3.431286,0.509183,3.518429
8,0.266667,1,621.942577,451.869532,495.646439,469.963531,558.794508,460.916532,2.848363,3.589344,-1.781054,2.701776,0.533654,3.14556
9,0.3,1,619.590244,453.16889,493.568926,471.75293,556.579585,462.46091,2.702882,6.144657,-1.736129,2.508667,0.483376,4.326662
10,0.333333,1,617.380381,453.813393,491.372089,473.286252,554.376235,463.549823,2.740208,4.687804,-1.701313,2.592462,0.519448,3.640133
11,0.366667,1,615.541725,455.415391,488.319807,475.161985,551.930766,465.288688,2.738632,4.43336,-1.791859,2.612526,0.473387,3.522943
12,0.4,1,613.742046,455.764861,486.222868,476.53416,549.982457,466.149511,2.725207,5.104699,-1.75414,2.857477,0.485534,3.981088
13,0.433333,1,611.640263,457.050766,483.49865,478.065809,547.569456,467.558287,2.735478,4.634576,-1.773191,2.650795,0.481143,3.642685
14,0.466667,1,609.71591,457.750822,481.213808,479.649739,545.464859,468.700281,2.762207,4.189002,-1.769844,2.776131,0.496181,3.482566
15,0.5,1,607.48621,457.950776,480.490341,480.425713,543.988276,469.188244,2.739145,4.800748,-1.726053,2.868328,0.506546,3.834538
16,0.533333,1,606.47047,458.4032,479.169445,480.954902,542.819958,469.679051,2.728034,5.28173,-1.703376,2.882031,0.512329,4.08188
17,0.566667,1,605.335102,459.274864,477.895412,481.947019,541.615257,470.610942,2.729718,4.708569,-1.714791,2.873346,0.507464,3.790958
18,0.6,1,604.500713,459.745935,477.352467,482.574806,540.92659,471.160371,2.734575,4.313322,-1.733681,2.918866,0.500447,3.616094
19,0.633333,1,604.063025,459.819278,477.185802,482.98394,540.624413,471.401609,2.753724,4.122726,-1.723415,2.864907,0.515155,3.493816
20,0.666667,1,603.323803,460.271627,475.166407,484.055901,539.245105,472.163764,2.773713,4.552178,-1.760258,2.731858,0.506728,3.642018
21,0.7,1,602.918758,460.353144,475.583801,483.837204,539.25128,472.095174,2.770755,4.589576,-1.755443,2.848822,0.507656,3.719199
22,0.733333,1,602.119637,460.60686,475.063581,483.806895,538.591609,472.206877,2.707344,4.342717,-1.764124,2.749681,0.47161,3.546199
23,0.766667,1,601.410227,459.997988,474.567347,483.637229,537.988787,471.817608,2.751282,4.301648,-1.741468,3.201183,0.504907,3.751415
24,0.8,1,600.767298,459.764249,473.922386,483.622359,537.344842,471.693304,2.703171,4.148728,-1.746619,2.862875,0.478276,3.505802
25,0.833333,1,600.835018,459.240113,473.286572,483.600301,537.060795,471.420207,2.770044,4.605,-1.746201,2.999741,0.511922,3.80237
26,0.866667,1,600.038624,459.431108,472.650099,483.934901,536.344361,471.683004,2.721319,4.132194,-1.735023,2.994266,0.493148,3.56323
27,0.9,1,599.54628,459.088247,472.310982,483.937465,535.928631,471.512856,2.71135,4.12983,-1.740621,3.146997,0.485365,3.638413
28,0.933333,1,599.175987,459.313745,472.103491,484.128395,535.639739,471.72107,2.738663,3.73911,-1.713709,3.048102,0.512477,3.393606
29,0.966667,1,598.921375,459.538429,471.299334,484.620763,535.110354,472.079596,2.740551,3.649115,-1.731472,3.111504,0.50454,3.38031
30,1.0,1,598.440332,459.654772,471.072073,484.993697,534.756203,472.324235,2.734158,3.530249,-1.746756,3.210532,0.493701,3.370391
31,1.033333,1,598.077927,459.647487,470.80554,485.353425,534.441733,472.500456,2.752934,3.750867,-1.754119,3.25528,0.499407,3.503073
32,1.066667,1,597.83967,459.793711,470.343113,485.545374,534.091392,472.669542,2.768086,3.80507,-1.76147,3.240532,0.503308,3.522801
33,1.1,1,597.624807,459.720283,470.060959,485.679045,533.842883,472.699664,2.749018,3.964915,-1.734264,3.310132,0.507377,3.637524
34,1.133333,1,597.553711,459.607093,469.760294,485.567808,533.657002,472.587451,2.738456,3.719383,-1.728368,3.310864,0.505044,3.515124
35,1.166667,1,597.247696,459.892309,469.892521,485.563259,533.570108,472.727784,2.747267,3.775801,-1.704058,3.326611,0.521604,3.551206
36,1.2,1,596.94582,460.010626,469.492149,486.137273,533.218985,473.07395,2.770282,3.691809,-1.717519,3.19794,0.526382,3.444874
37,1.233333,1,596.939526,460.10931,469.23728,486.396203,533.088403,473.252757,2.776086,3.810178,-1.748436,3.344369,0.513825,3.577274
38,1.266667,1,596.750841,460.305648,469.686947,486.558616,533.218894,473.432132,2.786241,3.384432,-1.734487,3.456858,0.525877,3.420645
39,1.3,1,596.967888,460.327717,469.95985,486.515003,533.463869,473.42136,2.790624,3.449625,-1.736913,3.491452,0.526855,3.470538
40,1.333333,1,597.03476,460.338746,469.411907,486.678425,533.223333,473.508586,2.782186,3.430274,-1.734808,3.410929,0.523689,3.420602
41,1.366667,1,597.169323,460.643456,469.337969,486.952794,533.253646,473.798125,2.79087,3.694753,-1.733151,3.478663,0.528859,3.586708
42,1.4,1,596.691189,461.529819,468.634224,487.995079,532.662706,474.762449,2.778781,4.765774,-1.744212,3.803531,0.517284,4.284653
43,1.433333,1,596.234903,461.621797,468.764763,487.961379,532.499833,474.791588,2.793729,5.476534,-1.756331,3.693963,0.518699,4.585249
44,1.466667,1,595.927439,462.088727,467.365198,488.690833,531.646318,475.38978,2.790754,5.892642,-1.801226,4.505678,0.494764,5.19916
45,1.5,1,595.98793,462.548018,467.862358,488.788937,531.925144,475.668477,2.82239,4.898164,-1.763603,3.776494,0.529394,4.337329
46,1.533333,1,594.906693,462.773323,467.153502,489.392316,531.030097,476.08282,2.797508,4.557435,-1.791295,4.109607,0.503106,4.333521
47,1.566667,1,595.222778,463.053946,466.977901,489.911925,531.10034,476.482936,2.802747,4.59764,-1.756364,4.190337,0.523191,4.393988
48,1.6,1,594.490433,463.433447,466.729393,490.118412,530.609913,476.775929,2.78413,4.674444,-1.785261,3.953359,0.499435,4.313902
49,1.633333,1,593.901224,463.307898,466.367588,490.184008,530.134406,476.745953,2.778956,4.215814,-1.788961,4.201247,0.494997,4.208531
50,1.666667,1,593.935661,463.423673,466.818371,490.19567,530.377016,476.809672,2.799589,4.009656,-1.767575,3.983816,0.516007,3.996736
51,1.7,1,593.141994,463.351157,465.821667,490.351034,529.481831,476.851096,2.766973,3.931968,-1.793793,4.220313,0.48659,4.076141
52,1.733333,1,593.338175,463.375704,465.268278,490.699421,529.303226,477.037563,2.777905,4.878258,-1.765176,3.829694,0.506365,4.353976
53,1.766667,1,593.003836,463.268459,464.876776,490.786732,528.940306,477.027596,2.788868,4.508436,-1.78383,4.27834,0.502519,4.393388
54,1.8,1,592.996988,463.482993,465.106239,490.772763,529.051614,477.127878,2.781772,4.470937,-1.789767,3.999698,0.496003,4.235318
55,1.833333,1,593.263664,463.231262,465.352364,490.864967,529.308014,477.048115,2.808042,4.731712,-1.764868,3.738211,0.521587,4.234962
56,1.866667,1,593.149614,463.305291,465.209122,490.797493,529.179368,477.051392,2.78436,4.355793,-1.781739,4.058039,0.50131,4.206916
57,1.9,1,593.648033,463.027908,465.544376,491.028839,529.596205,477.028373,2.792846,4.174144,-1.748775,4.506093,0.522036,4.340118
58,1.933333,1,594.126015,463.144991,465.35141,491.154217,529.738712,477.149604,2.800366,3.936468,-1.776515,4.589575,0.511925,4.263022
59,1.966667,1,594.591494,463.2698,465.46855,491.349835,530.030022,477.309818,2.802363,4.242481,-1.749538,4.551615,0.526412,4.397048
