frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
4755,158.5,1,610.75429,381.318208,523.479118,387.691029,567.116704,384.504619,2.823986,3.250031,-1.677985,3.044577,0.573001,3.147304
4756,158.533333,1,611.514273,379.562187,523.844519,387.905821,567.679396,383.734004,2.921412,3.239954,-1.671178,2.938025,0.625117,3.08899
4757,158.566667,1,610.755186,377.91692,524.00135,387.740285,567.378268,382.828603,2.860463,2.961597,-1.752544,3.295704,0.55396,3.128651
4758,158.6,1,610.795145,377.364911,523.197794,387.125942,566.996469,382.245426,2.940523,3.101151,-1.754983,3.395726,0.59277,3.248438
4759,158.633333,1,610.359888,376.98231,523.351126,386.598158,566.855507,381.790234,2.933792,3.246747,-1.738993,3.229498,0.5974,3.238123
4760,158.666667,1,609.206333,375.371171,523.218021,385.830349,566.212177,380.60076,2.843479,2.875763,-1.733197,2.666542,0.555141,2.771152
4761,158.7,1,609.007082,375.106888,523.105726,385.25745,566.056404,380.182169,2.865561,3.368261,-1.708205,2.617555,0.578678,2.992908
4762,158.733333,1,609.061527,374.696263,523.192387,385.202143,566.126957,379.949203,2.83309,3.39978,-1.740584,2.481976,0.546253,2.940878
4763,158.766667,1,606.683702,374.854202,521.978703,386.755357,564.331203,380.80478,2.738096,3.991478,-1.724104,2.469199,0.506996,3.230339
4764,158.8,1,606.780844,375.835462,521.717777,386.838248,564.24931,381.336855,2.7224,3.627611,-1.794609,2.323127,0.463896,2.975369
4765,158.833333,1,606.30455,374.004897,521.89393,386.182029,564.09924,380.093463,2.761685,3.281384,-1.763067,2.130087,0.499309,2.705736
4766,158.866667,1,606.505938,372.607917,522.027493,384.822117,564.266715,378.715017,2.830341,3.134751,-1.756763,2.147035,0.536789,2.640893
4767,158.9,1,607.091379,371.49186,521.371374,384.24497,564.231377,377.868415,2.893923,3.083073,-1.765484,2.085732,0.56422,2.584402
4768,158.933333,1,605.806704,370.425006,519.698391,383.571339,562.752547,376.998172,2.932782,3.369342,-1.761377,2.252751,0.585702,2.811046
4769,158.966667,1,604.980459,369.079181,518.770542,381.839586,561.875501,375.459384,2.999491,3.611885,-1.739265,2.159627,0.630113,2.885756
4770,159.0,1,603.257122,368.571997,518.67959,381.155022,560.968356,374.86351,2.946195,3.257265,-1.730228,1.93805,0.607983,2.597658
4771,159.033333,1,603.071861,367.746145,518.141975,380.260044,560.606918,374.003094,2.941811,3.296821,-1.765186,1.84125,0.588313,2.569035
4772,159.066667,1,603.023338,367.350765,519.23213,380.64006,561.127734,373.995413,2.939998,3.382265,-1.712098,1.760356,0.61395,2.571311
4773,159.1,1,603.00313,366.902863,519.251785,381.090167,561.127458,373.996515,2.938153,2.990987,-1.730433,1.937142,0.60386,2.464065
4774,159.133333,1,602.747622,366.794422,519.195623,380.548199,560.971622,373.671311,2.938073,3.111466,-1.724081,1.840944,0.606996,2.476205
