frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
286,9.533333,1,592.395935,429.977224,487.572136,428.676674,539.984035,429.326949,2.884069,1.287225,-1.635947,1.927885,0.624061,1.607555
287,9.566667,1,591.298027,429.949522,486.779785,428.294599,539.038906,429.122061,2.893353,1.355375,-1.696855,1.962177,0.598249,1.658776
288,9.6,1,588.197031,428.777611,483.262243,426.720893,535.729637,427.749252,2.965309,1.789353,-1.776753,2.144729,0.594278,1.967041
289,9.633333,1,582.207031,427.026064,477.664461,425.871116,529.935746,426.44859,2.879836,1.871382,-1.956213,2.034272,0.461812,1.952827
290,9.666667,1,579.985733,425.571288,474.757853,424.706962,527.371793,425.139125,2.793406,1.930814,-1.921649,1.56265,0.435878,1.746732
291,9.7,1,578.882847,424.914361,473.937483,424.320209,526.410165,424.617285,2.715803,1.680917,-1.934956,1.71506,0.390424,1.697988
292,9.733333,1,578.566475,424.616797,472.792244,424.03317,525.679359,424.324983,2.730719,1.811461,-1.880592,1.590148,0.425064,1.700804
293,9.766667,1,577.766962,424.048362,472.017403,423.820664,524.892182,423.934513,2.674222,1.758928,-1.906187,1.64649,0.384018,1.702709
294,9.8,1,577.153339,423.631879,471.396513,423.433589,524.274926,423.532734,2.682262,1.738313,-1.870756,1.560624,0.405753,1.649469
295,9.833333,1,576.605625,423.106381,470.828314,423.11197,523.716969,423.109176,2.697405,1.673647,-1.85636,1.611727,0.420523,1.642687
296,9.866667,1,575.6143,422.683053,469.836187,422.934129,522.725244,422.808591,2.706229,1.675992,-1.854651,1.726061,0.425789,1.701027
297,9.9,1,572.491016,422.118384,466.541805,422.465065,519.516411,422.291724,2.716679,1.992138,-1.850816,1.606603,0.432932,1.79937
298,9.933333,1,572.12986,421.765083,465.830269,422.346371,518.980064,422.055727,2.715276,2.062132,-1.861004,1.544771,0.427136,1.803452
299,9.966667,1,571.775856,421.636466,465.241632,422.437835,518.508744,422.03715,2.720112,2.007889,-1.843975,1.513807,0.438068,1.760848
300,10.0,1,571.417093,421.543436,464.961376,422.505662,518.189235,422.024549,2.704852,1.997016,-1.833481,1.615895,0.435685,1.806456
301,10.033333,1,570.956373,421.446297,463.766975,422.641135,517.361674,422.043716,2.733576,1.919267,-1.839321,1.682371,0.447127,1.800819
302,10.066667,1,566.215086,420.267831,458.952904,422.634065,512.583995,421.450948,2.679258,1.756218,-2.014424,1.722529,0.332417,1.739374
303,10.1,1,561.871624,418.029699,454.927702,421.134979,508.399663,419.582339,2.588038,1.866265,-2.085949,1.590739,0.251044,1.728502
304,10.133333,1,560.720329,417.69069,453.502436,421.273102,507.111382,419.481896,2.552286,1.783034,-2.092442,1.621669,0.229922,1.702351
305,10.166667,1,560.0072,417.438229,452.629833,421.056068,506.318517,419.247149,2.552035,1.694018,-2.031253,1.557501,0.260391,1.625759
306,10.2,1,559.725876,417.770501,452.119617,421.243662,505.922747,419.507082,2.58028,1.724548,-2.043699,1.569989,0.268291,1.647269
307,10.233333,1,559.487772,417.934985,451.836147,421.370219,505.66196,419.652602,2.57593,1.731543,-2.050481,1.544155,0.262725,1.637849
308,10.266667,1,559.228687,418.069654,451.400175,421.499609,505.314431,419.784631,2.619115,1.656312,-2.053566,1.673423,0.282774,1.664868
309,10.3,1,558.909626,418.12112,451.247721,421.650349,505.078673,419.885734,2.644287,1.602692,-2.03069,1.675349,0.306798,1.639021
310,10.333333,1,558.668222,418.072067,451.037436,421.785468,504.852829,419.928768,2.633022,1.591912,-2.03069,1.727472,0.301166,1.659692
311,10.366667,1,558.40744,418.050803,450.784378,421.857029,504.595909,419.953916,2.627632,1.638569,-2.019444,1.771477,0.304094,1.705023
312,10.4,1,557.747526,417.846526,450.030775,421.967697,503.889151,419.907112,2.6271,1.560619,-2.022594,1.732449,0.302253,1.646534
313,10.433333,1,557.601929,417.84379,449.857826,422.042391,503.729877,419.943091,2.610242,1.510983,-2.014071,1.688226,0.298086,1.599604
314,10.466667,1,556.555738,417.461672,448.695393,422.01249,502.625566,419.737081,2.632449,1.489477,-2.058003,1.974344,0.287223,1.73191
315,10.5,1,556.023817,417.074769,448.117447,421.659071,502.070632,419.36692,2.631121,1.481935,-2.063594,2.037994,0.283763,1.759964
316,10.533333,1,555.459976,416.846266,447.571802,421.754676,501.515889,419.300471,2.65164,1.622236,-2.040418,1.926614,0.305611,1.774425
317,10.566667,1,555.047836,416.813275,446.956921,421.650842,501.002378,419.232059,2.666965,1.628427,-2.036993,1.95163,0.314986,1.790028
318,10.6,1,554.555435,416.495583,447.076874,421.141341,500.816154,418.818462,2.704282,1.639264,-2.005497,2.004723,0.349392,1.821993
319,10.633333,1,553.837795,415.585016,447.102041,420.544689,500.469918,418.064852,2.730471,1.702242,-1.997486,2.063824,0.366493,1.883033
320,10.666667,1,552.097855,414.946157,445.2847,420.822802,498.691278,417.884479,2.689281,1.684441,-1.977626,2.340491,0.355828,2.012466
321,10.7,1,550.778456,413.445278,445.175266,419.491589,497.976861,416.468434,2.7197,1.702541,-1.949469,2.078092,0.385116,1.890316
322,10.733333,1,549.102268,412.91021,443.354521,419.24533,496.228395,416.07777,2.766421,1.627884,-1.924641,1.726531,0.42089,1.677207
323,10.766667,1,547.841825,412.640036,442.50947,419.485098,495.175648,416.062567,2.786721,1.638428,-1.898182,1.643409,0.444269,1.640919
324,10.8,1,547.266321,412.436929,442.396145,419.641793,494.831233,416.039361,2.736052,1.674959,-1.886378,1.736195,0.424837,1.705577
325,10.833333,1,547.051983,412.659144,441.978817,420.010672,494.5154,416.334908,2.719475,1.644011,-1.89983,1.838509,0.409823,1.74126
326,10.866667,1,547.613325,412.89005,442.556276,419.841971,495.084801,416.366011,2.70403,1.917983,-1.949515,1.85022,0.377257,1.884101
327,10.9,1,548.100548,413.022434,442.766132,419.998881,495.43334,416.510657,2.702262,1.899098,-1.964824,1.878112,0.368719,1.888605
328,10.933333,1,548.649168,412.896016,443.005352,419.842336,495.82726,416.369176,2.719903,1.986836,-1.988556,1.881674,0.365673,1.934255
329,10.966667,1,548.789034,413.139313,443.109207,419.899489,495.949121,416.519401,2.701804,1.942285,-1.969547,1.812644,0.366129,1.877464
330,11.0,1,549.180641,412.519262,443.45603,419.420521,496.318336,415.969892,2.723386,1.982471,-2.02747,1.813443,0.347958,1.897957
331,11.033333,1,549.1572,411.957672,443.634539,418.879745,496.395869,415.418708,2.725655,1.917603,-1.999173,1.794299,0.363241,1.855951
332,11.066667,1,549.580183,410.826284,443.000422,418.236862,496.290302,414.531573,2.746808,1.927902,-2.048635,1.638643,0.349087,1.783272
333,11.1,1,549.333572,410.342649,443.128529,417.73265,496.23105,414.03765,2.74162,1.713473,-1.974,1.891468,0.38381,1.802471
334,11.133333,1,549.084892,409.820799,442.842531,417.428498,495.963712,413.624648,2.749516,1.779937,-1.992711,1.727993,0.378402,1.753965
335,11.166667,1,548.725929,409.559326,442.581139,417.450868,495.653534,413.505097,2.754696,1.716642,-1.942658,1.763156,0.406019,1.739899
336,11.2,1,548.36031,409.350243,442.467871,417.46532,495.41409,413.407781,2.759009,1.607795,-1.946562,1.674023,0.406224,1.640909
337,11.233333,1,547.99201,409.206744,442.022371,417.685186,495.007191,413.445965,2.783227,1.586337,-1.936091,1.685622,0.423568,1.63598
338,11.266667,1,548.01671,409.012671,441.759329,417.760803,494.88802,413.386737,2.780218,1.537348,-1.956993,1.702259,0.411612,1.619803
339,11.3,1,548.071785,408.881081,441.837416,417.671388,494.9546,413.276235,2.798018,1.550955,-1.932748,1.689969,0.432635,1.620462
340,11.333333,1,548.251657,408.57812,441.879988,417.421106,495.065823,412.999613,2.794933,1.549818,-1.965718,1.77624,0.414608,1.663029
341,11.366667,1,548.423996,408.388928,442.036247,417.307316,495.230122,412.848122,2.801367,1.565101,-1.967416,1.78326,0.416976,1.67418
342,11.4,1,548.679533,408.390323,442.379608,417.40747,495.529571,412.898896,2.787605,1.492916,-1.959935,1.83282,0.413835,1.662868
343,11.433333,1,548.775377,408.453902,442.360535,417.574732,495.567956,413.014317,2.795696,1.525589,-1.950459,1.816489,0.422618,1.671039
344,11.466667,1,548.777609,408.577627,442.495432,417.596544,495.63652,413.087085,2.789755,1.561235,-1.950701,1.830844,0.419527,1.69604
345,11.5,1,548.725185,408.763536,442.36371,417.939309,495.544448,413.351423,2.778343,1.497065,-1.947942,1.85377,0.4152,1.675418
346,11.533333,1,548.674402,408.968618,442.314587,417.952387,495.494494,413.460503,2.780192,1.565657,-1.955094,1.861968,0.412549,1.713812
347,11.566667,1,548.566294,409.206358,442.212763,418.083183,495.389528,413.64477,2.78823,1.51517,-1.951947,1.831015,0.418141,1.673092
348,11.6,1,548.395939,409.401226,441.988726,418.217529,495.192332,413.809378,2.776232,1.556675,-1.946859,1.837473,0.414687,1.697074
349,11.633333,1,548.289671,409.608904,441.980324,418.302845,495.134997,413.955874,2.777454,1.528718,-1.95541,1.918534,0.411022,1.723626
350,11.666667,1,549.966984,411.074066,443.476124,418.439069,496.721554,414.756567,2.831717,1.428493,-1.896741,1.697714,0.467488,1.563104
351,11.7,1,553.328485,412.723711,446.39389,419.860071,499.861188,416.291891,2.872642,1.437521,-1.89685,1.848082,0.487896,1.642802
352,11.733333,1,556.62797,415.210773,451.669111,421.796937,504.14854,418.503855,2.882604,1.449743,-1.87908,2.060669,0.501762,1.755206
353,11.766667,1,556.893959,416.355894,452.399797,422.345695,504.646878,419.350795,2.864169,1.446595,-1.87442,1.682755,0.494875,1.564675
354,11.8,1,556.808319,416.658264,451.961145,422.517421,504.384732,419.587843,2.839348,1.791779,-1.870658,1.764212,0.484345,1.777995
355,11.833333,1,556.898165,417.026725,451.910725,422.722932,504.404445,419.874828,2.862278,1.817678,-1.874094,1.916459,0.494092,1.867068
356,11.866667,1,557.050076,417.187625,451.884155,423.051138,504.467115,420.119382,2.858087,1.805726,-1.894318,1.922887,0.481885,1.864307
357,11.9,1,557.403755,417.554026,451.915207,423.304574,504.659481,420.4293,2.869115,1.840782,-1.879166,2.004015,0.494974,1.922398
358,11.933333,1,557.707767,418.110938,452.030258,423.561895,504.869013,420.836416,2.841664,1.674582,-1.881425,1.8132,0.480119,1.743891
359,11.966667,1,558.068457,418.189173,452.133932,423.706101,505.101194,420.947637,2.83995,1.765001,-1.871769,1.782176,0.48409,1.773589
360,12.0,1,558.01919,418.674706,452.493639,423.671393,505.256414,421.17305,2.841488,1.687914,-1.844836,1.657565,0.498326,1.672739
361,12.033333,1,558.177652,418.947026,452.615786,423.635495,505.396719,421.29126,2.849823,1.708437,-1.841392,1.62983,0.504216,1.669134
362,12.066667,1,557.800283,418.779323,452.52964,423.536661,505.164962,421.157992,2.856836,1.661425,-1.81423,1.663512,0.521303,1.662468
363,12.1,1,557.73571,418.826562,452.358227,423.473307,505.046968,421.149935,2.850791,1.634156,-1.818735,1.702733,0.516028,1.668445
364,12.133333,1,557.798176,418.778808,452.544546,423.404052,505.171361,421.09143,2.848505,1.519193,-1.825267,1.667837,0.511619,1.593515
365,12.166667,1,557.757998,418.875926,452.540913,423.353852,505.149455,421.114889,2.849933,1.570152,-1.819588,1.681541,0.515172,1.625847
366,12.2,1,558.054619,418.975993,452.632399,423.420478,505.343509,421.198236,2.839829,1.512379,-1.829563,1.701465,0.505133,1.606922
367,12.233333,1,558.073177,419.048885,452.781992,423.43199,505.427585,421.240438,2.848522,1.552113,-1.826559,1.670956,0.510981,1.611535
368,12.266667,1,558.64543,419.36353,453.234615,423.680373,505.940022,421.521952,2.841779,1.498473,-1.835496,1.569323,0.503142,1.533898
369,12.3,1,559.127359,419.46496,453.464794,423.571315,506.296077,421.518137,2.816097,1.503009,-1.858217,1.513835,0.47894,1.508422
370,12.333333,1,559.804602,419.525449,453.836479,423.493305,506.82054,421.509377,2.807065,1.452354,-1.871249,1.504891,0.467908,1.478622
371,12.366667,1,560.140371,419.053649,454.587212,423.369559,507.363791,421.211604,2.78467,1.398347,-1.857219,1.581228,0.463726,1.489788
372,12.4,1,561.344423,419.287623,455.100794,423.075085,508.222609,421.181354,2.821762,1.43285,-1.88021,1.552421,0.470776,1.492636
373,12.433333,1,561.771164,419.066395,455.948153,423.095834,508.859658,421.081114,2.77662,1.653718,-1.874522,1.569271,0.451049,1.611494
374,12.466667,1,562.267094,419.280295,456.241865,423.134158,509.254479,421.207227,2.778373,1.54144,-1.877688,1.500565,0.450342,1.521002
375,12.5,1,562.405872,419.275832,456.722383,423.107035,509.564128,421.191434,2.77043,1.552549,-1.861479,1.527166,0.454475,1.539857
1456,48.533333,1,561.596518,404.766133,456.700802,409.233019,509.14866,406.999576,2.861892,1.184739,-1.896975,1.327354,0.482459,1.256046
1457,48.566667,1,561.848583,404.43782,456.378469,409.112567,509.113526,406.775193,2.872094,0.962215,-1.914116,1.344451,0.478989,1.153333
1458,48.6,1,561.784544,404.177517,456.100502,408.872026,508.942523,406.524771,2.851542,0.864013,-1.899243,1.393277,0.47615,1.128645
1459,48.633333,1,561.849003,403.871691,455.985861,408.582487,508.917432,406.227089,2.863398,1.004556,-1.890247,1.508693,0.486575,1.256625
1460,48.666667,1,562.016954,403.681158,455.849829,408.426554,508.933392,406.053856,2.879413,0.985755,-1.9059,1.560861,0.486757,1.273308
1461,48.7,1,562.118807,403.722979,455.966578,408.192312,509.042692,405.957645,2.884058,1.040038,-1.888819,1.614028,0.49762,1.327033
1462,48.733333,1,562.326212,403.721563,456.239052,408.280953,509.282632,406.001258,2.902089,1.22159,-1.903522,1.568983,0.499283,1.395287
1463,48.766667,1,562.472868,403.819195,456.438017,408.764813,509.455442,406.292004,2.895538,1.215414,-1.913251,1.841275,0.491144,1.528344
1464,48.8,1,562.777405,404.059639,456.742887,409.020159,509.760146,406.539899,2.886002,1.306841,-1.940378,1.717738,0.472812,1.512289
1465,48.833333,1,563.283634,404.308881,456.910105,409.221668,510.096869,406.765274,2.89884,1.219716,-1.935064,1.79782,0.481888,1.508768
1466,48.866667,1,563.885517,404.568465,457.267675,409.978534,510.576596,407.273499,2.896541,0.911743,-1.929863,2.132874,0.483339,1.522309
1467,48.9,1,564.45075,404.861019,458.374052,410.190268,511.412401,407.525643,2.916049,1.2288,-1.908717,2.236995,0.503666,1.732897
