frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1441,48.033333,1,762.625656,375.65143,664.529057,371.52086,713.577356,373.586145,2.911854,2.461184,-1.822125,1.622448,0.544864,2.041816
1442,48.066667,1,762.633743,375.627515,664.960079,371.720985,713.796911,373.67425,2.928707,2.426578,-1.80391,1.573233,0.562398,1.999905
1443,48.1,1,762.638397,375.70369,665.146599,371.693841,713.892498,373.698766,2.913242,2.333944,-1.80126,1.562243,0.555991,1.948094
1444,48.133333,1,762.14777,375.428259,664.913521,371.685001,713.530645,373.55663,2.902416,2.158698,-1.79203,1.621791,0.555193,1.890244
1445,48.166667,1,761.76939,375.209112,664.421272,371.408315,713.095331,373.308713,2.921295,2.171025,-1.777822,1.663541,0.571737,1.917283
1446,48.2,1,760.769577,375.13622,662.901058,371.387597,711.835318,373.261909,2.942702,2.244392,-1.768459,1.650323,0.587122,1.947357
1447,48.233333,1,759.007397,374.804281,660.800781,371.38631,709.904089,373.095295,2.98364,2.044089,-1.770619,1.626528,0.606511,1.835309
1448,48.266667,1,756.633759,374.638907,658.143463,371.737754,707.388611,373.188331,3.006739,2.182587,-1.805626,1.956473,0.600556,2.06953
1449,48.3,1,754.444809,374.932619,655.92432,372.21522,705.184565,373.57392,2.996819,2.325108,-1.82772,2.184233,0.584549,2.25467
1450,48.333333,1,752.134838,374.863998,653.826866,372.525895,702.980852,373.694946,2.980023,2.324394,-1.827514,2.203805,0.576255,2.264099
1451,48.366667,1,750.236988,375.018557,651.729946,372.870666,700.983467,373.944612,3.006502,2.342619,-1.823859,2.210067,0.591322,2.276343
1452,48.4,1,748.414078,374.804442,649.911079,372.871567,699.162579,373.838004,3.006955,2.410854,-1.83044,2.231926,0.588258,2.32139
1453,48.433333,1,746.737709,374.632995,648.627863,372.71189,697.682786,373.672442,2.980109,2.44459,-1.82644,2.238958,0.576835,2.341774
1454,48.466667,1,745.146446,374.537959,647.182884,373.116828,696.164665,373.827394,2.98748,2.333597,-1.796255,2.194268,0.595613,2.263933
1455,48.5,1,743.675671,374.118108,645.798588,373.045728,694.737129,373.581918,2.977053,2.392818,-1.82731,2.46054,0.574871,2.426679
1456,48.533333,1,743.201294,373.899776,645.455704,372.924342,694.328499,373.412059,2.982368,2.338524,-1.830812,2.271702,0.575778,2.305113
1457,48.566667,1,743.283005,373.691508,645.441933,372.828094,694.362469,373.259801,2.973785,2.471007,-1.778159,2.137613,0.597813,2.30431
1458,48.6,1,744.592209,374.212328,646.908131,373.382581,695.75017,373.797455,2.92826,1.969744,-1.750565,1.693469,0.588848,1.831607
1459,48.633333,1,745.503502,374.665385,648.142624,373.767285,696.823063,374.216335,2.905067,2.053357,-1.733662,1.761196,0.585703,1.907276
1460,48.666667,1,746.653919,375.021154,648.818359,373.889594,697.736139,374.455374,2.945718,2.406699,-1.785685,1.800994,0.580016,2.103846
1461,48.7,1,747.973061,374.994535,649.825554,373.747019,698.899307,374.370777,2.935309,2.454197,-1.822931,2.054325,0.556189,2.254261
1462,48.733333,1,749.852905,375.339832,651.252804,373.936232,700.552855,374.638032,2.945732,2.474416,-1.887899,1.600228,0.528916,2.037322
1463,48.766667,1,752.093697,375.281307,652.917385,374.108312,702.505541,374.694809,2.947626,2.113046,-1.89629,1.767487,0.525668,1.940267
1464,48.8,1,754.740849,375.384282,655.157452,374.102186,704.94915,374.743234,2.944624,1.896848,-1.861262,1.308321,0.541681,1.602584
1465,48.833333,1,756.644859,375.705203,658.108578,373.612264,707.376719,374.658734,2.887127,2.04572,-1.823184,1.461574,0.531971,1.753647
1466,48.866667,1,758.861942,376.144334,660.130386,373.553642,709.496164,374.848988,2.873284,2.096421,-1.830561,1.429538,0.521362,1.762979
1467,48.9,1,760.694866,376.178495,662.196178,373.429102,711.445522,374.803798,2.83573,2.25239,-1.820888,1.479793,0.507421,1.866092
1468,48.933333,1,762.208118,376.253715,663.845119,373.289326,713.026619,374.77152,2.833591,2.147541,-1.831162,1.545086,0.501214,1.846313
1469,48.966667,1,763.466206,376.323023,664.726315,373.076155,714.09626,374.699589,2.859396,2.167395,-1.856425,1.709382,0.501485,1.938389
1470,49.0,1,762.786121,379.156948,667.238331,375.838648,715.012226,377.497798,2.856713,2.048998,-1.8387,2.237885,0.509007,2.143441
1471,49.033333,1,762.203197,383.796355,674.346905,377.889122,718.275051,380.842738,2.657799,9.29685,-1.686351,3.479736,0.485724,6.388293
1472,49.066667,1,765.52906,382.049829,671.770363,377.131441,718.649712,379.590635,2.863609,2.72273,-1.809563,1.748957,0.527023,2.235844
1473,49.1,1,768.386631,380.391151,670.087624,375.726811,719.237127,378.058981,2.918236,2.329941,-1.902809,1.218394,0.507713,1.774168
1474,49.133333,1,769.904366,379.332097,671.650906,374.806083,720.777636,377.06909,2.830987,2.461199,-1.865415,1.24622,0.482786,1.853709
1475,49.166667,1,770.357933,378.707861,672.195454,374.304907,721.276693,376.506384,2.833568,2.473224,-1.865963,1.283256,0.483802,1.87824
1476,49.2,1,770.669842,378.339304,672.075539,374.039497,721.37269,376.189401,2.853565,2.204373,-1.861432,1.28599,0.496067,1.745181
1477,49.233333,1,770.945473,377.994404,672.056942,373.784999,721.501207,375.889701,2.859788,2.172289,-1.87764,1.258055,0.491074,1.715172
1478,49.266667,1,770.763073,377.917875,671.545067,373.886762,721.15407,375.902318,2.877557,2.036782,-1.885857,1.227566,0.49585,1.632174
1479,49.3,1,770.394192,377.717063,671.017799,374.00877,720.705996,375.862917,2.887391,2.094183,-1.900041,1.246513,0.493675,1.670348
1480,49.333333,1,769.917412,378.11933,670.588436,374.421809,720.252924,376.27057,2.889115,1.998407,-1.894813,1.276091,0.497151,1.637249
1481,49.366667,1,769.594765,378.21883,669.859638,374.64013,719.727201,376.42948,2.909314,2.068829,-1.905438,1.317993,0.501938,1.693411
1482,49.4,1,768.241386,378.071544,669.701176,374.574373,718.971281,376.322958,2.903411,1.936345,-1.886137,1.349794,0.508637,1.643069
