frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1172,39.066667,1,667.751369,426.044086,548.11533,421.953245,607.93335,423.998666,2.732666,2.467136,-1.806846,1.890798,0.46291,2.178967
1173,39.1,1,667.525558,426.136097,547.91399,421.772958,607.719774,423.954527,2.713499,2.541751,-1.816884,1.760072,0.448308,2.150911
1174,39.133333,1,667.655506,426.408588,547.934093,422.238032,607.7948,424.32331,2.718471,2.33131,-1.831158,1.862802,0.443656,2.097056
1175,39.166667,1,667.384586,426.448756,547.875652,422.097784,607.630119,424.27327,2.727675,2.451277,-1.823968,1.705604,0.451853,2.078441
1176,39.2,1,667.420387,426.539962,547.847204,422.549758,607.633796,424.54486,2.723834,2.394853,-1.805442,1.752594,0.459196,2.073723
1177,39.233333,1,667.431488,426.922359,547.730217,422.911813,607.580853,424.917086,2.736809,2.318811,-1.827154,1.740166,0.454828,2.029489
1178,39.266667,1,667.461624,427.060053,547.448244,423.303083,607.454934,425.181568,2.733099,2.278285,-1.810378,1.834441,0.46136,2.056363
1179,39.3,1,667.384281,427.320142,547.229462,423.706155,607.306871,425.513148,2.726537,2.329237,-1.79985,1.814318,0.463344,2.071778
1180,39.333333,1,667.328072,427.81855,546.971436,424.016819,607.149754,425.917684,2.72083,2.280818,-1.803982,1.717105,0.458424,1.998962
1181,39.366667,1,667.444382,428.146605,546.755524,424.474275,607.099953,426.31044,2.741364,2.230069,-1.798044,1.795978,0.47166,2.013023
1182,39.4,1,667.222652,428.571639,546.974602,424.929199,607.098627,426.750419,2.706587,2.365371,-1.797812,1.703973,0.454388,2.034672
1183,39.433333,1,667.279186,428.850524,546.870928,425.089628,607.075057,426.970076,2.730827,2.357749,-1.799999,1.602026,0.465414,1.979887
1184,39.466667,1,667.230072,429.06936,546.772394,425.604343,607.001233,427.336852,2.715277,2.388348,-1.821979,1.651212,0.446649,2.01978
1185,39.5,1,667.243519,429.572543,546.517763,425.806421,606.880641,427.689482,2.712935,2.368555,-1.815368,1.573369,0.448784,1.970962
1186,39.533333,1,667.065411,429.904472,546.376925,426.291944,606.721168,428.098208,2.692245,2.383792,-1.800029,1.671084,0.446108,2.027438
1187,39.566667,1,666.526585,430.125915,545.635338,426.422621,606.080961,428.274268,2.721338,2.408757,-1.814495,1.588764,0.453422,1.99876
1188,39.6,1,666.556396,430.219685,545.678186,426.374416,606.117291,428.297051,2.735923,2.381576,-1.798795,1.61094,0.468564,1.996258
1189,39.633333,1,665.826607,429.792323,544.683847,426.577513,605.255227,428.184918,2.715702,2.468698,-1.756671,1.706962,0.479516,2.08783
1190,39.666667,1,665.633774,430.284884,544.542475,426.880614,605.088124,428.582749,2.714074,2.381489,-1.784224,1.603377,0.464925,1.992433
1191,39.7,1,665.484219,430.60146,544.033527,427.121444,604.758873,428.861452,2.707126,2.398387,-1.773874,1.647306,0.466626,2.022846
1192,39.733333,1,665.192661,430.924473,543.860359,427.730584,604.52651,429.327528,2.711765,2.408177,-1.77343,1.64863,0.469168,2.028404
1193,39.766667,1,665.060272,431.240222,543.375292,428.077523,604.217782,429.658872,2.703523,2.414717,-1.781026,1.664461,0.461248,2.039589
1194,39.8,1,664.598961,431.339078,543.190889,428.356183,603.894925,429.84763,2.708416,2.410328,-1.74639,1.679062,0.481013,2.044695
1195,39.833333,1,664.356098,431.673914,542.724743,428.650421,603.540421,430.162168,2.70974,2.416402,-1.745917,1.720216,0.481911,2.068309
1196,39.866667,1,664.105682,431.821468,542.637587,429.150074,603.371634,430.485771,2.705316,2.335162,-1.732587,1.739883,0.486365,2.037523
1197,39.9,1,663.9221,432.041012,542.355127,429.337721,603.138614,430.689366,2.694111,2.376284,-1.759959,1.69265,0.467076,2.034467
1198,39.933333,1,663.734417,432.141252,542.047749,429.406525,602.891083,430.773888,2.700842,2.381903,-1.744885,1.714738,0.477979,2.048321
1199,39.966667,1,663.54578,432.342417,541.878242,429.533029,602.712011,430.937723,2.692045,2.375477,-1.7462,1.709038,0.472922,2.042257
1200,40.0,1,663.378315,432.341902,541.729841,429.948514,602.554078,431.145208,2.718049,2.342948,-1.727224,1.798253,0.495413,2.0706
1201,40.033333,1,663.242455,432.578259,541.841955,430.074373,602.542205,431.326316,2.70616,2.309816,-1.731564,1.736416,0.487298,2.023116
